ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-15,308.8833578621539,157.98883344544237,374.28798291588294,308.8833578621539,308.8833578621539,-40.406564460940444,-40.406564460940444,-40.406564460940444,-15.251636237336037,-15.251636237336037,-15.251636237336037,-25.15492822360441,-25.15492822360441,-25.15492822360441,0.0,0.0,0.0,268.47679340121346
2000-01-16,308.8850968523077,157.2728729033021,372.16117188492956,308.8850968523077,308.8850968523077,-41.89663254276849,-41.89663254276849,-41.89663254276849,-17.07412544647018,-17.07412544647018,-17.07412544647018,-24.822507096298306,-24.822507096298306,-24.822507096298306,0.0,0.0,0.0,266.9884643095392
2000-01-17,308.88683584246155,180.29852854262242,393.24535281410124,308.88683584246155,308.88683584246155,-19.583296098301584,-19.583296098301584,-19.583296098301584,5.07643359487127,5.07643359487127,5.07643359487127,-24.659729693172856,-24.659729693172856,-24.659729693172856,0.0,0.0,0.0,289.30353974416
2000-01-18,308.8885748326154,177.94998928489832,398.4879734986468,308.8885748326154,308.8885748326154,-15.958703476171307,-15.958703476171307,-15.958703476171307,8.713815014832267,8.713815014832267,8.713815014832267,-24.67251849100357,-24.67251849100357,-24.67251849100357,0.0,0.0,0.0,292.9298713564441
2000-01-19,308.89031382276926,184.67473047877533,407.8553445629048,308.89031382276926,308.89031382276926,-15.4841275676479,-15.4841275676479,-15.4841275676479,9.378677292956088,9.378677292956088,9.378677292956088,-24.86280486060399,-24.86280486060399,-24.86280486060399,0.0,0.0,0.0,293.4061862551214
2000-01-20,308.8920528129231,189.9783500774047,402.124771724526,308.8920528129231,308.8920528129231,-17.341665207640634,-17.341665207640634,-17.341665207640634,7.8868138799992655,7.8868138799992655,7.8868138799992655,-25.228479087639894,-25.228479087639894,-25.228479087639894,0.0,0.0,0.0,291.5503876052825
2000-01-21,308.89379180307697,176.04760815892485,385.5196060645392,308.89379180307697,308.89379180307697,-24.493427066417283,-24.493427066417283,-24.493427066417283,1.2700219011287153,1.2700219011287153,1.2700219011287153,-25.763448967546,-25.763448967546,-25.763448967546,0.0,0.0,0.0,284.4003647366597
2000-01-22,308.89553079323076,152.18431654926113,375.8872786859798,308.89553079323076,308.89553079323076,-41.70944105176965,-41.70944105176965,-41.70944105176965,-15.251636237316564,-15.251636237316564,-15.251636237316564,-26.457804814453088,-26.457804814453088,-26.457804814453088,0.0,0.0,0.0,267.1860897414611
2000-01-23,308.8972697833846,152.27601397756922,375.50605265837333,308.8972697833846,308.8972697833846,-44.3722112296003,-44.3722112296003,-44.3722112296003,-17.074125446485745,-17.074125446485745,-17.074125446485745,-27.298085783114562,-27.298085783114562,-27.298085783114562,0.0,0.0,0.0,264.52505855378433
2000-01-24,308.89900877353847,176.44521552911172,399.19966945048304,308.89900877353847,308.89900877353847,-23.19120602439143,-23.19120602439143,-23.19120602439143,5.0764335948827375,5.0764335948827375,5.0764335948827375,-28.267639619274167,-28.267639619274167,-28.267639619274167,0.0,0.0,0.0,285.70780274914705
2000-01-25,308.9007477636923,179.78791069189975,400.15894984098514,308.9007477636923,308.9007477636923,-20.633250390397176,-20.633250390397176,-20.633250390397176,8.713815014830592,8.713815014830592,8.713815014830592,-29.347065405227767,-29.347065405227767,-29.347065405227767,0.0,0.0,0.0,288.26749737329516
2000-01-26,308.9024867538462,177.91124501126964,402.6710580195323,308.9024867538462,308.9024867538462,-21.136049331364887,-21.136049331364887,-21.136049331364887,9.378677292953116,9.378677292953116,9.378677292953116,-30.514726624318005,-30.514726624318005,-30.514726624318005,0.0,0.0,0.0,287.7664374224813
2000-01-27,308.90422574400003,172.50236871744863,394.5903907183944,308.90422574400003,308.90422574400003,-23.860506112447123,-23.860506112447123,-23.860506112447123,7.886813880002341,7.886813880002341,7.886813880002341,-31.747319992449462,-31.747319992449462,-31.747319992449462,0.0,0.0,0.0,285.0437196315529
2000-01-28,308.9059647341538,175.65033335073358,394.9801029949586,308.9059647341538,308.9059647341538,-31.750462146253785,-31.750462146253785,-31.750462146253785,1.2700219011458536,1.2700219011458536,1.2700219011458536,-33.02048404739964,-33.02048404739964,-33.02048404739964,0.0,0.0,0.0,277.15550258790006
2000-01-29,308.9077037243077,146.0043040852459,368.1362219407381,308.9077037243077,308.9077037243077,-49.561066724313946,-49.561066724313946,-49.561066724313946,-15.251636237329565,-15.251636237329565,-15.251636237329565,-34.30943048698438,-34.30943048698438,-34.30943048698438,0.0,0.0,0.0,259.34663699999373
2000-01-30,308.90944271446153,143.29019416187373,363.8363809171121,308.90944271446153,308.90944271446153,-52.66370617689944,-52.66370617689944,-52.66370617689944,-17.074125446468276,-17.074125446468276,-17.074125446468276,-35.589580730431166,-35.589580730431166,-35.589580730431166,0.0,0.0,0.0,256.2457365375621
2000-01-31,308.9111817046154,166.51435502657432,393.43574689235766,308.9111817046154,308.9111817046154,-31.76075656131033,-31.76075656131033,-31.76075656131033,5.076433594894205,5.076433594894205,5.076433594894205,-36.837190156204535,-36.837190156204535,-36.837190156204535,0.0,0.0,0.0,277.15042514330503
2000-02-01,308.91292069476924,170.2088434990076,387.7551709468237,308.91292069476924,308.91292069476924,-29.31612792655597,-29.31612792655597,-29.31612792655597,8.713815014830521,8.713815014830521,8.713815014830521,-38.0299429413865,-38.0299429413865,-38.0299429413865,0.0,0.0,0.0,279.5967927682133
2000-02-02,308.9146596849231,170.3362411114934,393.59313611668875,308.9146596849231,308.9146596849231,-29.76882408381632,-29.76882408381632,-29.76882408381632,9.378677292952599,9.378677292952599,9.378677292952599,-39.14750137676892,-39.14750137676892,-39.14750137676892,0.0,0.0,0.0,279.1458356011068
2000-02-03,308.91639867507695,171.0177548142266,393.12675824400776,308.91639867507695,308.91639867507695,-32.285181048545276,-32.285181048545276,-32.285181048545276,7.886813880011726,7.886813880011726,7.886813880011726,-40.171994928557,-40.171994928557,-40.171994928557,0.0,0.0,0.0,276.6312176265317
2000-02-04,308.9181376652308,159.50967266723381,379.7647694808058,308.9181376652308,308.9181376652308,-39.81841421840921,-39.81841421840921,-39.81841421840921,1.2700219011381824,1.2700219011381824,1.2700219011381824,-41.088436119547396,-41.088436119547396,-41.088436119547396,0.0,0.0,0.0,269.0997234468216
2000-02-05,308.91987665538466,136.17916074657754,348.5528616945488,308.91987665538466,308.91987665538466,-57.136688694051934,-57.136688694051934,-57.136688694051934,-15.25163623734257,-15.25163623734257,-15.25163623734257,-41.885052456709374,-41.885052456709374,-41.885052456709374,0.0,0.0,0.0,251.78318796133271
2000-02-06,308.9216156455385,137.62556496747047,363.6513418102229,308.9216156455385,308.9216156455385,-59.6276515214319,-59.6276515214319,-59.6276515214319,-17.074125446460073,-17.074125446460073,-17.074125446460073,-42.55352607497184,-42.55352607497184,-42.55352607497184,0.0,0.0,0.0,249.2939641241066
2000-02-07,308.92335463569236,165.862133383014,386.7220598386323,308.92335463569236,308.92335463569236,-38.01270183253247,-38.01270183253247,-38.01270183253247,5.076433594873254,5.076433594873254,5.076433594873254,-43.08913542740573,-43.08913542740573,-43.08913542740573,0.0,0.0,0.0,270.9106528031599
2000-02-08,308.92509362584616,161.78429311799962,384.1543716784443,308.92509362584616,308.92509362584616,-34.77698113848323,-34.77698113848323,-34.77698113848323,8.713815014832653,8.713815014832653,8.713815014832653,-43.49079615331589,-43.49079615331589,-43.49079615331589,0.0,0.0,0.0,274.14811248736294
2000-02-09,308.926832616,165.97467132999483,388.01679629582605,308.926832616,308.926832616,-34.38232382426101,-34.38232382426101,-34.38232382426101,9.378677292954196,9.378677292954196,9.378677292954196,-43.76100111721521,-43.76100111721521,-43.76100111721521,0.0,0.0,0.0,274.544508791739
2000-02-10,308.92857160615387,164.05504406468907,387.1369597218366,308.92857160615387,308.92857160615387,-36.01884857160338,-36.01884857160338,-36.01884857160338,7.886813880008174,7.886813880008174,7.886813880008174,-43.905662451611555,-43.905662451611555,-43.905662451611555,0.0,0.0,0.0,272.9097230345505
2000-02-11,308.9303105963077,154.38000609902653,378.7238284375869,308.9303105963077,308.9303105963077,-42.66383927308805,-42.66383927308805,-42.66383927308805,1.2700219011305127,1.2700219011305127,1.2700219011305127,-43.93386117421857,-43.93386117421857,-43.93386117421857,0.0,0.0,0.0,266.26647132321966
2000-02-12,308.9320495864616,140.32019542822331,356.3987526634541,308.9320495864616,308.9320495864616,-59.10914874557744,-59.10914874557744,-59.10914874557744,-15.251636237348905,-15.251636237348905,-15.251636237348905,-43.857512508228524,-43.857512508228524,-43.857512508228524,0.0,0.0,0.0,249.82290084088413
