ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-14,308.5196221217143,173.44370939916175,396.76625164159674,308.5196221217143,308.5196221217143,-24.371661133235545,-24.371661133235545,-24.371661133235545,1.2695676508163007,1.2695676508163007,1.2695676508163007,-25.641228784051847,-25.641228784051847,-25.641228784051847,0.0,0.0,0.0,284.14796098847876
2000-01-15,308.5255515156923,152.42139569172048,369.66062681491786,308.5255515156923,308.5255515156923,-40.398206401684995,-40.398206401684995,-40.398206401684995,-15.249494317828304,-15.249494317828304,-15.249494317828304,-25.1487120838567,-25.1487120838567,-25.1487120838567,0.0,0.0,0.0,268.1273451140073
2000-01-16,308.53148090967034,155.56112773840724,372.88883004897286,308.53148090967034,308.53148090967034,-41.889508474409425,-41.889508474409425,-41.889508474409425,-17.073391379006054,-17.073391379006054,-17.073391379006054,-24.81611709540337,-24.81611709540337,-24.81611709540337,0.0,0.0,0.0,266.6419724352609
2000-01-17,308.53741030364836,175.02140869423062,406.0413332042283,308.53741030364836,308.53741030364836,-19.577154689633662,-19.577154689633662,-19.577154689633662,5.07604628259507,5.07604628259507,5.07604628259507,-24.653200972228735,-24.653200972228735,-24.653200972228735,0.0,0.0,0.0,288.96025561401467
2000-01-18,308.5433396976264,187.57777496524866,402.57193337734907,308.5433396976264,308.5433396976264,-15.95269217813384,-15.95269217813384,-15.95269217813384,8.713194775248429,8.713194775248429,8.713194775248429,-24.665886953382273,-24.665886953382273,-24.665886953382273,0.0,0.0,0.0,292.59064751949256
2000-01-19,308.5492690916044,180.92364085165397,399.2848621921376,308.5492690916044,308.5492690916044,-15.478136007635893,-15.478136007635893,-15.478136007635893,9.377970628171724,9.377970628171724,9.377970628171724,-24.856106635807617,-24.856106635807617,-24.856106635807617,0.0,0.0,0.0,293.0711330839685
2000-01-20,308.5551984855824,188.34289109261852,402.1463287241731,308.5551984855824,308.5551984855824,-17.33564361796889,-17.33564361796889,-17.33564361796889,7.886106359999266,7.886106359999266,7.886106359999266,-25.221749977968155,-25.221749977968155,-25.221749977968155,0.0,0.0,0.0,291.2195548676135
2000-01-21,308.56112787956044,172.5323585448905,395.34262665637016,308.56112787956044,308.56112787956044,-24.487156240219655,-24.487156240219655,-24.487156240219655,1.269567650801257,1.269567650801257,1.269567650801257,-25.75672389102091,-25.75672389102091,-25.75672389102091,0.0,0.0,0.0,284.0739716393408
2000-01-22,308.56705727353847,154.802538079346,382.9403205276539,308.56705727353847,308.56705727353847,-41.70061157549406,-41.70061157549406,-41.70061157549406,-15.249494317808837,-15.249494317808837,-15.249494317808837,-26.451117257685226,-26.451117257685226,-26.451117257685226,0.0,0.0,0.0,266.8664456980444
2000-01-23,308.5729866675165,150.49549625307063,378.56018343900394,308.5729866675165,308.5729866675165,-44.364858656680745,-44.364858656680745,-44.364858656680745,-17.07339137902161,-17.07339137902161,-17.07339137902161,-27.29146727765913,-27.29146727765913,-27.29146727765913,0.0,0.0,0.0,264.20812801083576
2000-01-24,308.5789160614945,174.6792444806279,397.536645669577,308.5789160614945,308.5789160614945,-23.185072971912827,-23.185072971912827,-23.185072971912827,5.076046282606537,5.076046282606537,5.076046282606537,-28.26111925451936,-28.26111925451936,-28.26111925451936,0.0,0.0,0.0,285.3938430895817
2000-01-25,308.58484545547253,174.0138955876876,397.79261212392703,308.58484545547253,308.58484545547253,-20.627474614746788,-20.627474614746788,-20.627474614746788,8.713194775246755,8.713194775246755,8.713194775246755,-29.340669389993543,-29.340669389993543,-29.340669389993543,0.0,0.0,0.0,287.95737084072573
2000-01-26,308.59077484945055,177.20985364995784,398.28997415545285,308.59077484945055,308.59077484945055,-21.130507279976115,-21.130507279976115,-21.130507279976115,9.37797062816875,9.37797062816875,9.37797062816875,-30.50847790814487,-30.50847790814487,-30.50847790814487,0.0,0.0,0.0,287.46026756947447
2000-01-27,308.5967042434286,174.8454956950117,396.57139886767,308.5967042434286,308.5967042434286,-23.85513159605401,-23.85513159605401,-23.85513159605401,7.886106360002342,7.886106360002342,7.886106360002342,-31.74123795605635,-31.74123795605635,-31.74123795605635,0.0,0.0,0.0,284.74157264737454
2000-01-28,308.6026336374066,167.89681098280613,392.2571522757031,308.6026336374066,308.6026336374066,-31.7450166192106,-31.7450166192106,-31.7450166192106,1.2695676508183933,1.2695676508183933,1.2695676508183933,-33.01458427002899,-33.01458427002899,-33.01458427002899,0.0,0.0,0.0,276.857617018196
2000-01-29,308.6085630313846,154.36033175088426,364.5015697290459,308.6085630313846,308.6085630313846,-49.55321891420036,-49.55321891420036,-49.55321891420036,-15.249494317821835,-15.249494317821835,-15.249494317821835,-34.30372459637853,-34.30372459637853,-34.30372459637853,0.0,0.0,0.0,259.0553441171843
2000-01-30,308.61449242536264,140.3594120202508,366.6271654742202,308.61449242536264,308.61449242536264,-52.65746771805686,-52.65746771805686,-52.65746771805686,-17.073391379004153,-17.073391379004153,-17.073391379004153,-35.5840763390527,-35.5840763390527,-35.5840763390527,0.0,0.0,0.0,255.95702470730578
2000-01-31,308.62042181934066,167.55210061124885,380.3912145774058,308.62042181934066,308.62042181934066,-31.7558446024644,-31.7558446024644,-31.7558446024644,5.0760462826180035,5.0760462826180035,5.0760462826180035,-36.8318908850824,-36.8318908850824,-36.8318908850824,0.0,0.0,0.0,276.8645772168763
2000-02-01,308.6263512133187,172.91006755898601,395.2838317576986,308.6263512133187,308.6263512133187,-29.311653755454,-29.311653755454,-29.311653755454,8.713194775246684,8.713194775246684,8.713194775246684,-38.02484853070069,-38.02484853070069,-38.02484853070069,0.0,0.0,0.0,279.31469745786467
2000-02-02,308.6322806072967,173.63524448583158,394.21397165879677,308.6322806072967,308.6322806072967,-29.764637251874504,-29.764637251874504,-29.764637251874504,9.377970628168235,9.377970628168235,9.377970628168235,-39.14260788004274,-39.14260788004274,-39.14260788004274,0.0,0.0,0.0,278.8676433554222
2000-02-03,308.63821000127473,167.09925386989593,375.65796553847696,308.63821000127473,308.63821000127473,-32.28118862515664,-32.28118862515664,-32.28118862515664,7.886106360011726,7.886106360011726,7.886106360011726,-40.16729498516837,-40.16729498516837,-40.16729498516837,0.0,0.0,0.0,276.3570213761181
2000-02-04,308.64413939525275,158.699143178766,382.48658960750697,308.64413939525275,308.64413939525275,-39.8143516474477,-39.8143516474477,-39.8143516474477,1.2695676508107239,1.2695676508107239,1.2695676508107239,-41.08391929825842,-41.08391929825842,-41.08391929825842,0.0,0.0,0.0,268.829787747805
2000-02-05,308.6500687892308,149.52058398120948,366.88210319928913,308.6500687892308,308.6500687892308,-57.130199978937256,-57.130199978937256,-57.130199978937256,-15.249494317834836,-15.249494317834836,-15.249494317834836,-41.88070566110243,-41.88070566110243,-41.88070566110243,0.0,0.0,0.0,251.51986881029353
