ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,308.859012,150.24480179195228,360.91771808769454,308.859012,308.859012,-53.01681606477002,-53.01681606477002,-53.01681606477002,-15.25163623731003,-15.25163623731003,-15.25163623731003,-37.76517982745998,-37.76517982745998,-37.76517982745998,0.0,0.0,0.0,255.84219593523
2000-01-02,308.86075099015386,139.12902111017044,356.4655733293629,308.86075099015386,308.86075099015386,-54.10002017325316,-54.10002017325316,-54.10002017325316,-17.074125446486587,-17.074125446486587,-17.074125446486587,-37.025894726766566,-37.025894726766566,-37.025894726766566,0.0,0.0,0.0,254.76073081690072
2000-01-03,308.8624899803077,170.2680084365711,387.4103136692403,308.8624899803077,308.8624899803077,-31.107408425066403,-31.107408425066403,-31.107408425066403,5.07643359491149,5.07643359491149,5.07643359491149,-36.1838420199779,-36.1838420199779,-36.1838420199779,0.0,0.0,0.0,277.7550815552413
2000-01-04,308.86422897046157,174.86943779033,390.0906477269739,308.86422897046157,308.86422897046157,-26.5389790637575,-26.5389790637575,-26.5389790637575,8.713815014831805,8.713815014831805,8.713815014831805,-35.2527940785893,-35.2527940785893,-35.2527940785893,0.0,0.0,0.0,282.3252499067041
2000-01-05,308.8659679606154,159.82385547053588,392.84275184109873,308.8659679606154,308.8659679606154,-24.870999613961185,-24.870999613961185,-24.870999613961185,9.378677292945873,9.378677292945873,9.378677292945873,-34.24967690690706,-34.24967690690706,-34.24967690690706,0.0,0.0,0.0,283.9949683466542
2000-01-06,308.8677069507692,176.33415230408625,393.1920806485676,308.8677069507692,308.8677069507692,-25.307303124681567,-25.307303124681567,-25.307303124681567,7.8868138799997425,7.8868138799997425,7.8868138799997425,-33.19411700468131,-33.19411700468131,-33.19411700468131,0.0,0.0,0.0,283.5604038260876
2000-01-07,308.8694459409231,166.06710697424887,385.89853051707894,308.8694459409231,308.8694459409231,-30.837891132087005,-30.837891132087005,-30.837891132087005,1.2700219011514313,1.2700219011514313,1.2700219011514313,-32.10791303323843,-32.10791303323843,-32.10791303323843,0.0,0.0,0.0,278.03155480883606
2000-01-08,308.8711849310769,140.04589518278678,375.2578865193063,308.8711849310769,308.8711849310769,-46.26608329663788,-46.26608329663788,-46.26608329663788,-15.251636237329697,-15.251636237329697,-15.251636237329697,-31.01444705930819,-31.01444705930819,-31.01444705930819,0.0,0.0,0.0,262.60510163443905
2000-01-09,308.8729239212308,160.62563007938166,367.03149195161546,308.8729239212308,308.8729239212308,-47.0121772301804,-47.0121772301804,-47.0121772301804,-17.074125446478384,-17.074125446478384,-17.074125446478384,-29.93805178370201,-29.93805178370201,-29.93805178370201,0.0,0.0,0.0,261.8607466910504
2000-01-10,308.87466291138463,177.16018446311395,395.34482712680597,308.87466291138463,308.87466291138463,-23.826917738493854,-23.826917738493854,-23.826917738493854,5.076433594924637,5.076433594924637,5.076433594924637,-28.90335133341849,-28.90335133341849,-28.90335133341849,0.0,0.0,0.0,285.04774517289076
