Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld,ln_Gross Metro Product,ln_Total Households,ln_Total Population,ln_Total Real Personal Income,ln_Disposable Real Pers Income,ln_Persons Per Household,ln_Res SF Permits,ln_Res MF Permits,ln_Total Res Permits,ln_Employment Tot Non Agric,ln_Total Employed,ln_CPI Index,ln_Fla - Gross State Product,ln_Fla - Nbr of Households,ln_Fla - Total Population,ln_Fla -Total Real Personal Income,ln_Fla - Dis Real Personal Income,ln_Fla Total RealPers Inc per Hsld,ln_Fla - Emplymt Tot NonAgricultur,ln_Fla - Tot Resid Permits,ln_Fla - Persons Per Hsld
1980,80Q1,2016-03-01,7.80466,113.91428,321.12637,,,2.819017685930157,2495.715,1511.2239,4006.939,116.97489,,78.51432,252.79004,3730.786,9737.106,,,,3523.317,164629.22,2.609934206893668,2.054720991199205,4.735446235728911,5.771834721672407,,,1.0363884859434964,7.822330540277671,7.320675131308402,8.295782887161147,4.761959296379963,,4.363281028533954,5.5325592627623745,8.224374214299297,9.183699227229452,,,,8.16715815442384,12.011451072733742,0.9593250129301556
1980,80Q2,2016-03-01,7.76585,115.24792,324.0753,,,2.81198393862553,1946.5386,970.67,2917.2085,117.79771,,81.25055,251.1941,3780.4336,9840.5,,,,3548.3767,117633.44,2.603008289842732,2.0497359161602815,4.747085633991553,5.780975896197319,,,1.0338902622057657,7.573807997318826,6.877986554708505,7.978382444858747,4.768968831300179,,4.397537590417705,5.526225947057067,8.237593991029769,9.194261801763492,,,,8.174245510285115,11.675328627767298,0.9566678107337236
1980,80Q3,2016-03-01,7.86513,116.42616,326.6747,,,2.805853083190238,2976.9888,1804.5608,4781.55,119.33895,,82.78262,253.01445,3823.9795,9937.9,,,,3592.6667,196475.34,2.598837153807964,2.0624390652992597,4.757257252314618,5.788964874530868,,,1.03170762221625,7.998667598832012,7.498072517059146,8.472520040704493,4.7819677636640785,,4.416218135976774,5.533446601721048,8.249046913278262,9.204111009724842,,,,8.186650019103492,12.188292206232942,0.9550640964465805
1980,80Q4,2016-03-01,8.06654,117.47243,328.97125,,,2.800412403148552,2844.7576,2313.5454,5158.303,121.9687,,85.15289,258.50168,3862.1604,10028.888,,,,3639.4792,218250.05,2.596704165886015,2.087724641891907,4.7662036677544695,5.795970360928754,,,1.0297666931742853,7.953233140821562,7.746536432100909,8.548362928415054,4.803764454439733,,4.444448346638441,5.554902192960247,8.25898199501051,9.21322500741193,,,,8.19959587347123,12.293396702796898,0.9542430124014211
1981,81Q1,2016-03-01,8.25907,118.42782,331.0464,,,2.795343188787905,1922.5325,963.9656,2886.498,123.82773,,87.70145,264.62347,3896.455,10113.749,,,,3686.254,149443.73,2.595628333959971,2.1113119903950355,4.7743036610658836,5.802258546821469,,,1.0279548857555858,7.5613986063084315,6.871055609326531,7.967799281620097,4.818891325475359,,4.4739384328788585,5.5783079476716635,8.267822444391058,9.221651064246752,,,,8.212366045242495,11.914675213001285,0.9538286198556928
1981,81Q2,2016-03-01,8.21385,119.33419,332.98154,,,2.790328069432574,1756.5585,1453.6484,3210.2068,125.67162,,89.53458,263.4544,3928.343,10192.77,,,,3736.245,174772.72,2.594674141234612,2.105821753862876,4.7819278764777735,5.808087053008408,,,1.0261591765306348,7.471111776018922,7.2818318131704585,8.074090637724957,4.833672314448717,,4.494624919374722,5.573880297977205,8.275972987454292,9.229433924408777,,,,8.225836375357037,12.071241665951082,0.9534609369544865
1981,81Q3,2016-03-01,8.27831,120.22549,334.84213,,,2.785117615241161,1397.8701,1199.8033,2597.6736,125.26509,,91.7418,268.2123,3959.1042,10266.474,,,,3756.4036,141952.94,2.593130536953284,2.1136388412844536,4.789369062846832,5.813659167018786,,,1.0242901041719534,7.242705000021633,7.08991290567362,7.862371554233868,4.830432211749874,,4.518978109643646,5.59177883109352,8.283773066537494,9.236638913883702,,,,8.23121728929439,11.863250873204777,0.9528658473462092
1981,81Q4,2016-03-01,8.24957,121.10176,336.63013,,,2.779729460579268,1171.039,998.5825,2169.6216,124.7173,,93.81956,267.8626,3989.2295,10336.338,,,,3764.2795,118482.62,2.591061256315286,2.110161077776111,4.7966311838968725,5.818984790525483,,,1.022353606628611,7.065646667910757,6.906336773378604,7.682308053448731,4.826049576022566,,4.541373363057723,5.590474162474997,8.29135338346678,9.243420926726099,,,,8.233311754058942,11.682521562134049,0.9520675432593199
1982,82Q1,2016-03-01,8.10264,121.9544,338.33176,,,2.774248079610083,1023.5687,763.1846,1786.7533,122.54764,,94.92144,266.1561,4019.01,10404.078,,,,3763.942,77420.67,2.588716624243284,2.0921899345020023,4.8036472043718526,5.8240269525506605,,,1.0203797481788075,6.931050525467188,6.637499941733429,7.488155453027164,4.808499852342754,,4.5530496021225275,5.584082978762471,8.298790882627245,9.249953123656933,,,,8.233222091447335,11.257009078188743,0.9511622410296875
1982,82Q2,2016-03-01,8.12066,122.77481,339.93307,,,2.768752564145691,1097.2175,1187.617,2284.8345,120.01078,,95.67485,270.42505,4048.737,10471.41,,,,3759.088,97861.55,2.586339888216992,2.09441143165866,4.810351864377786,5.828748745290947,,,1.0183968809131612,7.000532708626373,7.079704057371187,7.73404887182118,4.787581572080607,,4.560955463502855,5.599994980410484,8.306160259612833,9.256403965284433,,,,8.231931653771667,11.491309003671287,0.9502437056716001
1982,82Q3,2016-03-01,8.04716,123.56074,341.43628,,,2.763307179934339,1212.1998,1209.9478,2422.1477,118.42589,,97.47112,271.9122,4078.6543,10539.719,,,,3756.3848,104007.19,2.584116775967014,2.0853192341526086,4.816732857025649,5.833161073021235,,,1.0164282159955866,7.100192004527895,7.098332497164341,7.79240990491263,4.7742873640866215,,4.579556128998193,5.605479220069115,8.313522384561475,9.262906161398403,,,,8.231212284494841,11.552215310349206,0.9493837768369295
1982,82Q4,2016-03-01,8.03429,124.33593,342.90744,,,2.757911088130358,1615.014,1547.2507,3162.2646,118.20026,,98.08104,274.15375,4108.8096,10609.071,,,,3766.42,135962.58,2.582030328200168,2.083718631875119,4.822987015476122,5.837460556521331,,,1.0144735410452093,7.387098904349834,7.344234893034945,8.05904369548276,4.772380304631169,,4.585794075720591,5.613689080399585,8.320888630501456,9.269464668867831,,,,8.23388022716231,11.82013497979947,0.9485760383663763
1983,83Q1,2016-03-01,8.05836,125.13082,344.4287,,,2.752548892431137,1864.611,1155.9326,3020.5435,117.94545,,98.08277,279.65497,4139.202,10679.202,,,,3792.8987,150117.03,2.58001469848536,2.086710061869496,4.8293597500401795,5.84188710241488,,,1.0125273523747003,7.530807731233801,7.052662743034279,8.013192061064235,4.770222229441968,,4.58581171404032,5.6335565933249425,8.328258294616804,9.27605339062145,,,,8.240885834240247,11.919170468880585,0.9477950960046465
1983,83Q2,2016-03-01,8.22585,125.97604,346.08212,,,2.747205897248397,2098.0542,1819.6459,3917.7,119.18173,,99.23919,287.94592,4169.8315,10749.85,,,,3864.6917,194734.95,2.578005849876668,2.107281634776913,4.836091730138856,5.846676087937258,,,1.010584357798402,7.648765622750288,7.506397200701943,8.273260025894471,4.780649471071844,,4.597532996758852,5.662772684725714,8.335630906302574,9.282647079970086,,,,8.259637190698946,12.179394682184594,0.9470161736675118
1983,83Q3,2016-03-01,8.44092,126.89524,347.9304,,,2.741871168690015,2026.8468,2070.8535,4097.7,121.46394,,100.25109,294.93668,4200.722,10820.867,,,,3942.805,203698.02,2.575954085988076,2.1330913074066173,4.843361864166554,5.852002459771807,,,1.0086405956052529,7.614236563921317,7.63571612011994,8.318181119676956,4.799617428606242,,4.607677938945525,5.686760689232688,8.343011694259435,9.289231678580302,,,,8.279647677924801,12.224393881990926,0.9462199843208692
