Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld,ln_Gross Metro Product,ln_Total Households,ln_Total Population,ln_Total Real Personal Income,ln_Disposable Real Pers Income,ln_Persons Per Household,ln_Res SF Permits,ln_Res MF Permits,ln_Total Res Permits,ln_Employment Tot Non Agric,ln_Total Employed,ln_CPI Index,ln_Fla - Gross State Product,ln_Fla - Nbr of Households,ln_Fla - Total Population,ln_Fla -Total Real Personal Income,ln_Fla - Dis Real Personal Income,ln_Fla Total RealPers Inc per Hsld,ln_Fla - Emplymt Tot NonAgricultur,ln_Fla - Tot Resid Permits,ln_Fla - Persons Per Hsld
1995,95Q3,2007-09-01,10.40859,173.24306,447.18201,,,2.581240541468155,2033.5599,219.02658,2252.5864,163.1716,185.39458,147.46918,380.74033,5797.5439,14613.956,,,,5999.3999,120902.16,2.520715022097547,2.3426314267672677,5.1546955795476235,6.10296569294585,,,0.9482701133982278,7.61754318151536,5.389193092314788,7.719834346127556,5.094802407778995,5.222486418615973,4.993619204794417,5.942117594210471,8.665189641330427,9.58973224153508,,,,8.699414726541525,11.702736902448251,0.9245426002046532
1995,95Q4,2007-09-01,10.59186,173.95859,447.18201,,,2.57062333052941,2461.7732,112.99441,2574.7676,164.55096,186.00063,148.46298,386.44345,5828.3369,14691.881,,,,6057.7661,128587.17,2.520767287834716,2.3600857815846417,5.158817282385024,6.10296569294585,,,0.9441484105608273,7.808637182273613,4.727338348462159,7.8535145565976565,5.1032203094653115,5.2257500608042395,5.000335634234814,5.956985544256699,8.670486972782282,9.59505030726069,,,,8.70909638073945,11.764362319090118,0.9245633344784074
1996,96Q1,2007-09-01,10.7374,174.6877,454.51199,,,2.601854566749691,2398.4368,69.91964,2468.3564,165.3493,186.97411,149.66994,391.69214,5859.8706,14771.674,,,,6103.5332,123438.36,2.520819145733355,2.373732974112175,5.1629998082503725,6.119224293907634,,,0.9562244856572615,7.782572470792997,4.2473465825926064,7.811307783027262,5.108060205974631,5.2309701580717505,5.008432469659035,5.970476174093124,8.675882800415987,9.600466706950165,,,,8.716623095596985,11.723497201141916,0.9245839065341778
1996,96Q2,2007-09-01,10.87016,175.46539,454.51199,,,2.590322741140005,2389.1213,80.89445,2470.0159,165.95955,188.06465,151.14001,397.31418,5892.1548,14853.36,,,,6137.2671,123476.41,2.520870632930418,2.386021420436012,5.167441815480663,6.119224293907634,,,0.951782478426972,7.778680920419421,4.393145218497294,7.811979866848268,5.111744083964245,5.236785786694473,5.0182066257563935,5.984727353097315,8.681377050149818,9.60598138126358,,,,8.722134824335926,11.723805404659277,0.9246043311137632
1996,96Q3,2007-09-01,10.94939,176.31528,454.51199,,,2.577836645808577,2656.8984,214.11749,2871.0159,166.93861,188.35918,151.90311,401.82034,5925.1167,14936.759,,,,6193.5,130903.34,2.520922330525575,2.3932837469482178,5.172273756096258,6.119224293907634,,,0.9469505378113765,7.88491470641372,5.366524883057818,7.962421218245749,5.117626140043132,5.238350671999983,5.023242883388188,5.996005073299673,8.686955662011895,9.611580500748852,,,,8.731255633994255,11.782214467233283,0.9246248387369574
1996,96Q4,2007-09-01,10.92999,177.2155,454.51199,,,2.564741740987668,2571.542,123.06848,2694.6106,167.64864,189.95686,152.92189,403.57498,5958.3555,15020.86,,,,6253.3999,122261.86,2.520974117774611,2.3915103872749452,5.177366506128843,6.119224293907634,,,0.9418577877787916,7.852260997961233,4.812740948413248,7.899008983107523,5.12187036074095,5.246796993748556,5.029927268155445,6.000362294486508,8.6925497991669,9.617195180669686,,,,8.740880578824788,11.713920416946463,0.9246453815027871
1997,97Q1,2007-09-01,10.88388,178.1328,463.51901,,,2.602098041461202,2422.3733,94.94098,2517.3142,167.93333,189.47365,153.86798,408.9899,5991.3882,15104.447,,,,6312.3999,134955.03,2.521026262327652,2.387282795501896,5.182529339537868,6.13884739818859,,,0.9563180586507221,7.79250304105557,4.553255435378724,7.830947818492748,5.123567055401254,5.244249964722189,5.036094962017949,6.013690461361363,8.69807841718047,9.622744482756687,,,,8.750271216032143,11.812696890815625,0.9246660655762152
1997,97Q2,2007-09-01,10.96415,179.03398,463.51901,,,2.58900019985033,2627.644,38.03992,2665.6841,170.16667,190.97343,154.28751,412.6041,6023.7324,15186.304,,,,6384.2671,131229.83,2.521078791614316,2.394630859485224,5.187575620227099,6.13884739818859,,,0.9512717779614911,7.873842906197039,3.6386361346255565,7.888216001594877,5.136778368525249,5.2521343084223,5.03881780988411,6.0224885375727535,8.703462346182272,9.628149248010848,,,,8.76159197722685,11.784705492453998,0.9246869018285756
1997,97Q3,2007-09-01,11.06456,179.8914,463.51901,,,2.576660196096089,2594.49,1312.3545,3906.8445,171.66667,192.29366,154.83061,416.96973,6054.9951,15265.438,,,,6444.8667,135816.41,2.521131354837925,2.4037472076875104,5.1923533354780815,6.13884739818859,,,0.9464940627105086,7.861145244493178,7.179578131177815,8.270485293904684,5.145554631413102,5.259023682732462,5.0423316806259315,6.033013629235968,8.70863884673831,9.633346597846105,,,,8.77103923245963,11.81905932627604,0.924707751107794
1997,97Q4,2007-09-01,11.16856,180.70003,463.51901,,,2.565129679281182,2935.4917,1422.6646,4358.1563,172.10002,191.57884,155.48157,420.27634,6085.1431,15341.766,,,,6492.2671,133958.73,2.521184095079046,2.413102688029361,5.196838363619198,6.13884739818859,,,0.9420090345693919,7.984630248043251,7.260286871081439,8.379804379937152,5.148075819428992,5.255299421024628,5.046527203694811,6.040912447302595,8.71360552198981,9.638334192154195,,,,8.778367070733298,11.80528704642128,0.9247286701643849
