Date,Lakeland_total_employees,ln_Lakeland_total_employees
2011-07-01,190.2,5.24807615011129
2011-08-01,189.7,5.245443876940969
2011-09-01,190.3,5.248601774302104
2011-10-01,190.5,5.249652194566756
2011-11-01,191.1,5.252796851246227
2011-12-01,190.7,5.250701512606374
2012-01-01,190.6,5.250176991220101
2012-02-01,190.9,5.251749730731702
2012-03-01,190.9,5.251749730731702
2012-04-01,192.0,5.2574953720277815
2012-05-01,191.9,5.256974403013654
2012-06-01,192.7,5.2611345754203205
2012-07-01,193.1,5.263208189434469
2012-08-01,193.5,5.2652775124698366
2012-09-01,193.8,5.266826699456666
2012-10-01,193.7,5.2663105704129505
2012-11-01,194.0,5.267858159063328
2012-12-01,194.1,5.268373490174964
2013-01-01,195.8,5.27709373009641
2013-02-01,196.9,5.28269598564508
2013-03-01,196.6,5.281171207713066
2013-04-01,196.3,5.279644101282416
2013-05-01,196.5,5.280662431309316
2013-06-01,196.3,5.279644101282416
2013-07-01,196.9,5.28269598564508
2013-08-01,197.5,5.285738584341177
2013-09-01,197.7,5.286750730176571
2013-10-01,199.0,5.293304824724492
2013-11-01,198.4,5.290285194850773
2013-12-01,198.9,5.292802185859927
2014-01-01,199.7,5.296816240421769
2014-02-01,200.0,5.298317366548036
2014-03-01,200.3,5.299816242671772
2014-04-01,201.0,5.303304908059076
2014-05-01,201.0,5.303304908059076
2014-06-01,201.0,5.303304908059076
2014-07-01,201.4,5.305292980284462
2014-08-01,201.4,5.305292980284462
2014-09-01,202.0,5.308267697401205
2014-10-01,202.9,5.312713246831769
2014-11-01,203.7,5.31664832323276
2014-12-01,204.4,5.320078858329549
2015-01-01,204.7,5.321545492667243
2015-02-01,205.0,5.3230099791384085
2015-03-01,205.4,5.324959297494458
2015-04-01,205.9,5.327390614033744
2015-05-01,207.0,5.332718793265369
2015-06-01,208.3,5.3389793482669266
2015-07-01,208.8,5.341376856008484
2015-08-01,209.8,5.346154695962197
2015-09-01,210.6,5.349960599699875
2015-10-01,210.1,5.347583607850955
2015-11-01,210.9,5.351384087484729
2015-12-01,211.3,5.353278924622011
2016-01-01,211.6,5.354697699984144
2016-02-01,212.4,5.358471289367784
2016-03-01,213.2,5.362230692291689
2016-04-01,214.8,5.36970736263471
2016-05-01,216.3,5.376666332959013
2016-06-01,215.7,5.373888553395111
2016-07-01,216.3,5.376666332959013
2016-08-01,217.3,5.381278887262384
2016-09-01,216.9,5.379436417832829
2016-10-01,217.5,5.382198850528739
2016-11-01,217.6,5.382658514981787
2016-12-01,218.3,5.385870263555899
2017-01-01,219.2,5.389984555073861
2017-02-01,219.7,5.392262979390565
2017-03-01,220.4,5.39544407727876
2017-04-01,220.1,5.394081988532416
2017-05-01,220.9,5.397710110426072
2017-06-01,222.2,5.40357787720553
2017-07-01,221.9,5.402226829938548
2017-08-01,222.4,5.404477562376427
2017-09-01,218.0,5.384495062789089
2017-10-01,222.5,5.404927101606295
2017-11-01,223.2,5.408068230507156
2017-12-01,224.0,5.4116460518550396
2018-01-01,223.9,5.411199523604709
2018-02-01,224.3,5.412984441526163
2018-03-01,224.3,5.412984441526163
2018-04-01,225.7,5.41920668382349
2018-05-01,226.6,5.423186348593906
2018-06-01,227.6,5.427589702252176
2018-07-01,228.9,5.433285226958521
2018-08-01,229.7,5.436774109695053
2018-09-01,230.9,5.44198471636045
2018-10-01,231.4,5.444147814759576
2018-11-01,233.1,5.4514675460417115
2018-12-01,232.3,5.4480296397763635
2019-01-01,232.5,5.448890225027411
2019-02-01,232.7,5.449750070308246
2019-03-01,233.1,5.4514675460417115
2019-04-01,233.3,5.452325179027384
2019-05-01,233.9,5.454893673590133
2019-06-01,235.3,5.4608612957333165
2019-07-01,236.3,5.465102184192863
2019-08-01,237.5,5.470167623474696
2019-09-01,238.2,5.473110656921199
2019-10-01,239.0,5.476463551931511
2019-11-01,239.6,5.478970866241294
2019-12-01,240.4,5.4823042026610525
2020-01-01,241.7,5.487697287709437
2020-02-01,242.0,5.488937726156687
2020-03-01,242.4,5.490589254195159
2020-04-01,223.5,5.409411414053624
2020-05-01,229.4,5.435467204695271
2020-06-01,236.8,5.46721590300985
2020-07-01,236.6,5.466370951544286
2020-08-01,239.4,5.478135793123873
2020-09-01,241.2,5.485626464853031
2020-10-01,244.4,5.4988062272974405
2020-11-01,245.2,5.5020742040620565
2020-12-01,249.7,5.520260197285728
2021-01-01,248.6,5.515845179076611
2021-02-01,249.9,5.521060837840906
2021-03-01,250.8,5.524655808758766
2021-04-01,251.1,5.5258512661635395
2021-05-01,252.3,5.530618855647012
2021-06-01,253.2,5.534179690270021
2021-07-01,254.0,5.537334267018537
2021-08-01,254.0,5.537334267018537
2021-09-01,256.1,5.54556799320548
2021-10-01,260.6,5.562986664690745
2021-11-01,260.0,5.560681631015528
2021-12-01,259.6,5.559141984829935
2022-01-01,259.0,5.556828061699537
2022-02-01,261.0,5.564520407322694
2022-03-01,262.3,5.569488886872828
2022-04-01,264.2,5.576706392088225
2022-05-01,264.2,5.576706392088225
2022-06-01,264.8,5.578974824062853
2022-07-01,266.5,5.585374243605899
2022-08-01,267.5,5.589119566336061
2022-09-01,267.8,5.5902404332570725
2022-10-01,268.0,5.5909869805108565
2022-11-01,268.6,5.593223284089137
2022-12-01,269.1,5.59508305773286
2023-01-01,269.7,5.597310230145684
2023-02-01,270.1,5.59879226079857
2023-03-01,269.9,5.598051520023959
2023-04-01,271.0,5.602118820879701
2023-05-01,271.2,5.60285655606624
2023-06-01,271.5,5.60396213937399
2023-07-01,271.4,5.603593747400769
2023-08-01,271.8,5.605066501717044
2023-09-01,272.5,5.607638614103299
2023-10-01,274.3,5.614222397943558
2023-11-01,274.8,5.616043560348194
2023-12-01,275.0,5.616771097666572
2024-01-01,275.3,5.617861412148562
2024-02-01,276.1,5.620763118936109
2024-03-01,276.1,5.620763118936109
2024-04-01,277.4,5.625460507880731
2024-05-01,277.5,5.625820933186489
2024-06-01,278.7,5.630135934487902
2024-07-01,279.7,5.633717600207914
2024-08-01,279.8,5.634075062231381
2024-09-01,279.0,5.631211781821365
2024-10-01,278.9,5.630853294633443
2024-11-01,278.3,5.628699668531845
2024-12-01,278.6,5.629777061345705
