Date,Total_permits_Lakeland,ln_Total_permits_Lakeland
2000-01-01,278.336952794527,5.628832440150386
2000-02-01,234.74625081007096,5.4585051469707215
2000-03-01,536.650864988575,6.285347724756245
2000-04-01,350.05312849102404,5.8580849386523
2000-05-01,871.4189908194991,6.770122906904095
2000-06-01,540.338003696206,6.292194876514862
2000-07-01,224.31105259624297,5.413033716265076
2000-08-01,381.39139055647695,5.943826119645878
2000-09-01,337.45371834412,5.821428370077055
2000-10-01,285.300350204217,5.653542485713328
2000-11-01,393.822463055712,5.975900206365182
2000-12-01,278.712929564162,5.630182325819996
2001-01-01,297.69729643399,5.696077186468871
2001-02-01,336.242842881556,5.8178336455789035
2001-03-01,281.273561274347,5.639327723429734
2001-04-01,349.78080362368,5.857306682930213
2001-05-01,365.1952081277871,5.900432027407422
2001-06-01,275.587963366666,5.618906863899346
2001-07-01,450.510426341428,6.110381220712713
2001-08-01,500.337108306598,6.215282087853474
2001-09-01,472.21109697165696,6.157426124950579
2001-10-01,426.9283125534381,6.05661611284243
2001-11-01,335.607713668602,5.815942959038686
2001-12-01,374.93799585355697,5.926760667909005
2002-01-01,324.974159116095,5.783745668756602
2002-02-01,426.174588038788,6.05484909338852
2002-03-01,314.681179905799,5.7515599989957655
2002-04-01,366.908839046692,5.905113422231289
2002-05-01,357.674928884012,5.879624554023866
2002-06-01,374.121058048868,5.924579429662608
2002-07-01,329.730474358426,5.798275576374718
2002-08-01,348.973904543963,5.854997147326521
2002-09-01,345.85063980990304,5.84600700500846
2002-10-01,451.57134696528,6.112733382444363
2002-11-01,697.7311731277299,6.547833889791895
2002-12-01,393.70204701146497,5.975594397355695
2003-01-01,612.515993921814,6.4175750546033665
2003-02-01,425.916531991878,6.054243392780373
2003-03-01,441.7198064490081,6.090675759003085
2003-04-01,567.846470829091,6.341851084348
2003-05-01,551.054976164398,6.311834579428686
2003-06-01,451.662989447512,6.112936303167927
2003-07-01,553.2948399895031,6.315891023978603
2003-08-01,612.65697144918,6.417805189501823
2003-09-01,627.956692895323,6.442471203732558
2003-10-01,464.51267622391697,6.1409888479222525
2003-11-01,548.606374501877,6.307381198016523
2003-12-01,684.991232017656,6.52940603820608
2004-01-01,526.0738744663071,6.265441648629563
2004-02-01,532.916016138145,6.278363843529552
2004-03-01,499.370228447876,6.2133477614268315
2004-04-01,403.27490780587,5.999618482750273
2004-05-01,455.875725869136,6.122220241382331
2004-06-01,700.707199009041,6.552090109348316
2004-07-01,509.068724483696,6.232583026068343
2004-08-01,469.030529022695,6.150667860192787
2004-09-01,930.023601315248,6.8352099635836225
2004-10-01,1876.7550406835,7.537299522307237
2004-11-01,487.890469832064,6.190090933595693
2004-12-01,583.5202214997049,6.369079106652609
2005-01-01,774.1372795885851,6.651749221672167
2005-02-01,769.256653897523,6.645424664015275
2005-03-01,878.2925576085449,6.777979747254636
2005-04-01,803.3921983507989,6.688843011087391
2005-05-01,843.6763710198089,6.737768974402495
2005-06-01,894.391593618469,6.796143703450659
2005-07-01,508.63627846601696,6.231733180499238
2005-08-01,1004.75291175782,6.912496931317468
2005-09-01,1663.37221604866,7.416602276186191
2005-10-01,1039.5724061429,6.946564759651411
2005-11-01,1019.70966527025,6.927273223868212
2005-12-01,1180.52113333553,7.0737112583861075
2006-01-01,1583.64212305549,7.367482614433335
2006-02-01,2244.8699578118494,7.716402873247776
2006-03-01,1091.94863210676,6.995719115003151
2006-04-01,615.6238830805561,6.422636197639316
2006-05-01,624.078808737312,6.436276656448137
2006-06-01,510.415568584562,6.235225234278082
2006-07-01,687.123222552996,6.532513639389043
2006-08-01,410.32438287545097,6.016948024627228
2006-09-01,358.620687631615,5.882265249500378
2006-10-01,370.077438764446,5.913712277697307
2006-11-01,469.83773622533295,6.15238739302058
2006-12-01,596.756398536912,6.391508987468807
2007-01-01,293.861542994666,5.683108714215564
2007-02-01,353.96877866745905,5.869208713389656
2007-03-01,409.66992395181296,6.015351771928511
2007-04-01,383.98945244566,5.950615084621059
2007-05-01,719.1052066297921,6.578007670563104
2007-06-01,343.542950908768,5.83931214288139
2007-07-01,302.553336921886,5.71225758233121
2007-08-01,292.753969377766,5.67933256131935
2007-09-01,238.14400739203896,5.472875563764363
2007-10-01,254.60696853511504,5.53972105627158
2007-11-01,307.899551678878,5.729773598868589
2007-12-01,292.04625846304003,5.676912209115227
2008-01-01,539.6401747527369,6.290902574402631
2008-02-01,291.797158104346,5.676058896851218
2008-03-01,153.764391848651,5.0354215078255855
2008-04-01,264.638539815261,5.57836489419337
2008-05-01,222.672803484618,5.405703445048412
2008-06-01,729.0642330633392,6.59176183932509
2008-07-01,228.806635431738,5.432877260097962
2008-08-01,165.29898062826598,5.1077558380098145
2008-09-01,122.81247694028,4.810658614299939
2008-10-01,149.154378866468,5.004981869339504
2008-11-01,150.396157500539,5.01327286265572
2008-12-01,111.371303163929,4.712869692548089
2009-01-01,81.586788130416,4.4016673386947245
2009-02-01,92.96386461280268,4.532210865096646
2009-03-01,98.04815945605152,4.585458780982758
2009-04-01,75.3867053095929,4.3226309373133915
2009-05-01,66.7879969905128,4.201523378626411
2009-06-01,121.425561994488,4.799301416547126
2009-07-01,91.8496145653658,4.520152615303563
2009-08-01,79.88380531377909,4.380573145292024
2009-09-01,116.77185706653,4.760222091588207
2009-10-01,107.609502998745,4.678508961660096
2009-11-01,81.4837608895218,4.400403747504019
2009-12-01,119.06523145999,4.779671506454112
2010-01-01,105.992952827153,4.663372609139283
2010-02-01,88.42328104232081,4.482135295177635
2010-03-01,137.258390019656,4.921865207990571
2010-04-01,217.860146666328,5.383853327867733
2010-05-01,101.910186470411,4.624091900594703
2010-06-01,77.76350595000521,4.353672245941427
2010-07-01,60.0727129311385,4.095555710671268
2010-08-01,105.927045775444,4.662750609759626
2010-09-01,91.673042874087,4.518228365205776
2010-10-01,123.514836031272,4.816361278660895
2010-11-01,101.607195262672,4.621114352151286
2010-12-01,82.186200858399,4.4089874152010555
2011-01-01,34.3357490137395,3.5361870567098843
