Date,SF_permits_Florida,ln_SF_permits_Florida
2000-01-01,8308.382096119742,9.0250201752865
2000-02-01,8720.65349914512,9.073449456657485
2000-03-01,8993.1922073518,9.10422314868198
2000-04-01,7857.040236859559,8.969165254310674
2000-05-01,8773.62668642807,9.07950553311504
2000-06-01,9378.34135165878,9.146158198182958
2000-07-01,7470.37573836804,8.91870057650954
2000-08-01,8919.65644678802,9.096012709898257
2000-09-01,8897.996609768199,9.093581430355373
2000-10-01,8524.98208534991,9.05075620072428
2000-11-01,8612.575766276841,9.060978712528716
2000-12-01,8504.00021842985,9.048291945707325
2001-01-01,9367.99653377428,9.14505453527047
2001-02-01,8782.75894180409,9.080545867542984
2001-03-01,9176.150993302308,9.124363113916008
2001-04-01,9690.187054171742,9.178869008534589
2001-05-01,10190.0003936333,9.22916216484614
2001-06-01,9496.891417158631,9.158719804794274
2001-07-01,9707.710289849729,9.180675723987697
2001-08-01,9974.56875531707,9.207794008273844
2001-09-01,9231.262271845128,9.130351075659457
2001-10-01,9872.899770291373,9.197548885659927
2001-11-01,10681.479631806,9.27626664522202
2001-12-01,10048.1559845307,9.215144412525651
2002-01-01,11342.8976840554,9.336347072334583
2002-02-01,11236.6383641305,9.326935000790627
2002-03-01,10252.3280081895,9.235260081528283
2002-04-01,9547.202346312228,9.164003442526987
2002-05-01,9723.66994323488,9.18231839237074
2002-06-01,9567.86129620352,9.166164979451088
2002-07-01,10088.4985961028,9.219151301096552
2002-08-01,10586.5279364264,9.267337522365262
2002-09-01,10746.830251695,9.28236612976852
2002-10-01,11568.5346678306,9.356044162887041
2002-11-01,11376.8701716371,9.339337640998565
2002-12-01,11733.8686139216,9.370234692382176
2003-01-01,11418.0871365424,9.342953968001689
2003-02-01,11686.2093351354,9.366164736280606
2003-03-01,10934.3142901398,9.299661223338505
2003-04-01,12271.7368958247,9.41505408398874
2003-05-01,12072.9419341299,9.398722023756497
2003-06-01,12175.3314763035,9.407167173559923
2003-07-01,12602.6519651319,9.441662544216312
2003-08-01,12670.8568767208,9.44705990139306
2003-09-01,13928.269888968898,9.541675858699177
2003-10-01,14147.3678659245,9.557283869225722
2003-11-01,12102.7219835422,9.401185663603266
2003-12-01,15404.0106093355,9.642383183673559
2004-01-01,13108.3974014904,9.481008326836283
2004-02-01,13537.9114708792,9.513249285741454
2004-03-01,14368.8707990889,9.572819395546281
2004-04-01,15101.6150256596,9.622556972425397
2004-05-01,15066.0881493997,9.620201679251286
2004-06-01,15996.1502266811,9.680103361438057
2004-07-01,15756.6659951407,9.665018792500641
2004-08-01,13934.3371596366,9.54211137219962
2004-09-01,14501.1294258858,9.581981816815684
2004-10-01,14916.5429152282,9.610226138814658
2004-11-01,15122.31336346,9.623926638259018
2004-12-01,16268.981397043,9.697015592048132
2005-01-01,16111.209425351,9.687270546311039
2005-02-01,15877.5482092825,9.672661327999556
2005-03-01,16923.2171227924,9.736441752367288
2005-04-01,17119.2981395313,9.747961652332648
2005-05-01,15985.6096199797,9.679444197768916
2005-06-01,17379.2641619119,9.763033059713193
2005-07-01,15258.8061580004,9.632912068357372
2005-08-01,18684.6258321878,9.835456316682302
2005-09-01,21411.2667751356,9.971672547284856
2005-10-01,15670.9542313303,9.659564228922326
2005-11-01,17560.122158711,9.773385823811322
2005-12-01,17063.7870867204,9.744713782736284
2006-01-01,17600.5804257737,9.775687159219599
2006-02-01,17032.9223397863,9.742903358452914
2006-03-01,17076.2639352951,9.745444704264322
2006-04-01,13656.3758219702,9.521961784743672
2006-05-01,13658.5825460719,9.522123360981627
2006-06-01,12001.796511028,9.392811626817158
2006-07-01,10245.4112942737,9.234585205721125
2006-08-01,10760.4274820945,9.283630561745799
2006-09-01,9653.601892524228,9.175086377802737
2006-10-01,8981.5514048743,9.102927908610015
2006-11-01,9219.13124886463,9.129036087476146
2006-12-01,8162.73862557016,9.007335007530438
2007-01-01,7618.0673631824,8.938277989633006
2007-02-01,7265.517253389598,8.89089477145886
2007-03-01,7506.8263208645985,8.923568061680566
2007-04-01,6907.02489976259,8.84029427408647
2007-05-01,6931.68397552323,8.843858060575739
2007-06-01,6471.101881178472,8.775101679204454
2007-07-01,5808.85693563339,8.667139089635098
2007-08-01,5607.60891472898,8.631879689251477
2007-09-01,5007.316516568772,8.518655425144988
2007-10-01,4798.75248098213,8.476111263320789
2007-11-01,4280.3734338684,8.361795535673535
2007-12-01,4153.937484773321,8.331811954918221
2008-01-01,4640.307858444528,8.442535991822016
2008-02-01,3812.7712755632497,8.246111572630422
2008-03-01,3512.0671532434494,8.163960075655188
2008-04-01,3723.589819076061,8.222443487077049
2008-05-01,3486.05305659752,8.156525445871637
2008-06-01,3446.0515268099,8.144984369619701
2008-07-01,3551.8722150643,8.175230127976272
2008-08-01,3024.57380609688,8.014525469992451
2008-09-01,3105.05557359893,8.040786892306905
2008-10-01,2918.41248583678,7.978795078186643
2008-11-01,2164.10131063639,7.679760455245931
2008-12-01,2025.56531144341,7.613604106725916
2009-01-01,1878.98362745761,7.538486285941555
2009-02-01,2002.9534484216097,7.60237809446794
2009-03-01,1801.2403200946103,7.496230773306015
2009-04-01,1850.1953891012895,7.523046528225849
2009-05-01,2002.50455402406,7.602153953109247
2009-06-01,2557.34254513331,7.846723930000242
2009-07-01,2562.54126316049,7.8487547260137935
2009-08-01,2311.73936680849,7.745755492818529
2009-09-01,2637.6308100227,7.877636372771608
2009-10-01,2745.88128309083,7.917857352724322
2009-11-01,2434.9636063481603,7.797687089346747
2009-12-01,2842.5719978844104,7.952464554374949
2010-01-01,3037.54555682841,8.018805085669143
2010-02-01,2983.01819334693,8.000690883506183
2010-03-01,3125.48131350669,8.04734357063273
2010-04-01,2993.98829224474,8.00436165456603
2010-05-01,2421.8742062349,7.792296984793488
2010-06-01,2394.46226389606,7.7809139601663375
2010-07-01,2267.6080441664103,7.726480829880093
2010-08-01,2420.99301996457,7.791933073813113
2010-09-01,2357.70881089796,7.765445583606658
2010-10-01,2162.7228404574203,7.679123281107362
2010-11-01,2229.8211265223495,7.709676648915168
2010-12-01,2401.79669647681,7.783972359789218
2011-01-01,2288.72657754206,7.735750862202685
2011-02-01,2215.63472254752,7.703294197884639
2011-03-01,2475.48188278103,7.814190356164731
2011-04-01,2420.5122424397,7.791734467181335
2011-05-01,2659.6755513921203,7.885959421175556
2011-06-01,2711.04957853311,7.9050911372448
2011-07-01,2658.33880525021,7.88545669738415
2011-08-01,3054.01609758754,8.024212756749474
2011-09-01,2825.32841969344,7.946379891582221
2011-10-01,2769.92161312593,7.926574300270479
2011-11-01,2806.84855834088,7.939817623478194
2011-12-01,2920.43791158276,7.979488853738117
2012-01-01,2902.4011483526097,7.973293655576958
2012-02-01,3174.00755006,8.062750279804382
2012-03-01,3151.02261038164,8.055482317352489
2012-04-01,2969.84721234565,7.996265786818812
2012-05-01,3368.807610654389,8.122314136004032
2012-06-01,3434.1506636613294,8.141524914595543
2012-07-01,3561.01904358201,8.177802031082072
2012-08-01,3611.1617058205297,8.191784801726067
2012-09-01,3642.89727804928,8.200534599534237
2012-10-01,4362.46022427464,8.380791448824334
2012-11-01,4175.36332327794,8.336956657038254
