Date,SF_permits_Lakeland,ln_SF_permits_Lakeland
2000-01-01,281.466761409662,5.640014363910672
2000-02-01,202.920618582535,5.312814861099791
2000-03-01,334.764981858299,5.8134287389343875
2000-04-01,295.410905159256,5.688367286001038
2000-05-01,374.6557206307591,5.926007525960419
2000-06-01,306.90661660054,5.726543520860672
2000-07-01,232.154249759476,5.4474020203913165
2000-08-01,342.943440788142,5.8375655379077624
2000-09-01,297.091290616823,5.694039467386651
2000-10-01,280.37554776198004,5.636129946514719
2000-11-01,281.083244579264,5.638650869516461
2000-12-01,270.187778004838,5.599117191360333
2001-01-01,310.894474769295,5.739453545177278
2001-02-01,293.716459118382,5.682614877214482
2001-03-01,288.79292931093,5.665709923723563
2001-04-01,315.09555174573603,5.75287593170305
2001-05-01,343.945736201364,5.840483901329882
2001-06-01,297.532488372033,5.69552342363517
2001-07-01,280.296146802769,5.63584671138617
2001-08-01,374.71641253352897,5.926169506637886
2001-09-01,249.32469583923697,5.518756046350306
2001-10-01,376.779624409584,5.93166046589397
2001-11-01,322.847279824956,5.777179393529644
2001-12-01,362.343239282008,5.892591937404156
2002-01-01,342.266451891968,5.835589532821768
2002-02-01,390.93480351384096,5.968540803150865
2002-03-01,318.82912458134103,5.764655299648357
2002-04-01,316.05593136260603,5.7559191959075475
2002-05-01,320.828564765174,5.770906914313786
2002-06-01,357.118128291075,5.878066618618735
2002-07-01,356.61555757679804,5.876658332006265
2002-08-01,326.008597177501,5.7869237527291055
2002-09-01,340.44681792524693,5.8302589252125
2002-10-01,421.793143756807,6.0445150131871195
2002-11-01,431.38687720714097,6.067005314408337
2002-12-01,387.061379063828,5.9585832826858915
2003-01-01,413.099910762122,6.023689478382657
2003-02-01,375.254694964845,5.927604982000513
2003-03-01,444.330079265632,6.096567708000583
2003-04-01,521.8847156431409,6.257446712233057
2003-05-01,494.930016015961,6.204416370787406
2003-06-01,464.067356420533,6.140029706390305
2003-07-01,562.2530238810131,6.3319519690037325
2003-08-01,523.3236456795489,6.260200098062553
2003-09-01,575.286217041048,6.354867685718614
2003-10-01,433.343741159608,6.071531272553723
2003-11-01,528.362535544293,6.269782668439396
2003-12-01,665.124693503202,6.499974532105605
2004-01-01,555.299525795864,6.31950765428693
2004-02-01,471.7048250468089,6.156353419296218
2004-03-01,505.181265772768,6.22491730699534
2004-04-01,379.13222261494695,5.937885016575576
2004-05-01,457.012787756576,6.12471137246459
2004-06-01,734.2166100232951,6.598804094101975
2004-07-01,480.83825251942494,6.175530940204811
2004-08-01,434.0691228685751,6.0732037907008305
2004-09-01,828.8806993746158,6.720076235701725
2004-10-01,1014.93192683633,6.92257682207046
2004-11-01,459.35235249317697,6.129817568056657
2004-12-01,534.2314724836181,6.280829214110064
2005-01-01,544.741201480076,6.300310822212101
2005-02-01,656.835051086757,6.48743292316793
2005-03-01,743.4351694617851,6.611281565678455
2005-04-01,754.7019321680609,6.62632287946783
2005-05-01,705.719440850697,6.55921776594914
2005-06-01,856.4462329956569,6.752791540540552
2005-07-01,355.579928477957,5.873750057946488
2005-08-01,946.2035745579808,6.852457740993739
2005-09-01,1582.1435337332998,7.366535873499746
2005-10-01,935.9146253336952,6.841524260067176
2005-11-01,908.262774408887,6.811533735862173
2005-12-01,1123.23457185869,7.023967812586578
2006-01-01,1380.27739948642,7.230039772071214
2006-02-01,1406.41878511795,7.248801883723074
2006-03-01,967.6497296206688,6.874870172227801
2006-04-01,568.220457703134,6.342509473177319
2006-05-01,603.404788077802,6.402588261857219
2006-06-01,505.68943590596297,6.225922717826138
2006-07-01,401.678629385533,5.995652339515722
2006-08-01,404.76851547827295,6.003315336979699
2006-09-01,363.318489556234,5.895279831288131
2006-10-01,372.2212432989351,5.919488417536275
2006-11-01,430.99050253957296,6.066086053989894
2006-12-01,395.11844134316704,5.979185571456334
2007-01-01,340.376494611413,5.830052342057108
2007-02-01,319.716059369064,5.767433287425588
2007-03-01,386.343860420074,5.956727803015003
2007-04-01,344.756340383388,5.84283790775415
2007-05-01,494.9417113917231,6.204440000870858
2007-06-01,327.857531608701,5.792579159173229
2007-07-01,308.74178238198004,5.732505271821115
2007-08-01,293.698748950455,5.682554578578393
2007-09-01,251.369854895265,5.526925380037559
2007-10-01,261.326995227537,5.565772478432337
2007-11-01,289.455233303205,5.668000650524655
2007-12-01,250.78041930336,5.524577732757804
2008-01-01,211.87778528106497,5.356009623917641
2008-02-01,264.668357887024,5.57847756255996
2008-03-01,147.301678662367,4.992482719617953
2008-04-01,233.752931020694,5.454264707216145
2008-05-01,208.579196125276,5.340318806650143
2008-06-01,201.810780849582,5.307330529929505
2008-07-01,221.12524118002892,5.3987292431747935
2008-08-01,167.500312324475,5.1209852158871145
2008-09-01,124.569364363075,4.824862704236472
2008-10-01,150.402826280699,5.0133172030991435
2008-11-01,147.856291358851,4.996240797701928
2008-12-01,106.684898893376,4.669879619644686
2009-01-01,90.38227260567508,4.504048148673366
2009-02-01,87.60327325751959,4.472818363197676
2009-03-01,93.57260863817292,4.538737697900737
2009-04-01,70.016429037498,4.248729915047183
2009-05-01,69.9484336399292,4.247758308293642
2009-06-01,129.242879184972,4.8616934185244
2009-07-01,94.3551264238517,4.54706560445459
2009-08-01,78.24107709614009,4.359794792198011
2009-09-01,116.935609075005,4.761623433513443
2009-10-01,106.176374355598,4.665101620364186
2009-11-01,84.47555172240959,4.436462163770615
2009-12-01,115.809244799002,4.751944396140589
2010-01-01,109.744154678981,4.6981517902087075
2010-02-01,81.64353444483929,4.402362630057433
2010-03-01,132.696809641228,4.8880668991593845
2010-04-01,132.923631059721,4.889774760745842
2010-05-01,106.964781454883,4.672499635000242
2010-06-01,79.6285385001574,4.377372552467335
2010-07-01,62.1188175757971,4.129048963582218
2010-08-01,100.924153283892,4.614369277146141
2010-09-01,89.4319622225087,4.493478137552119
2010-10-01,82.3628598294124,4.411134605080447
2010-11-01,73.1640369825667,4.292704002188467
2010-12-01,82.83050510505208,4.416796412684687
2011-01-01,33.5384524657601,3.512692615371134
2011-02-01,84.1543924772818,4.432653117459704
2011-03-01,68.9219458532561,4.2329746447674985
2011-04-01,64.3959278802643,4.1650503994381864
2011-05-01,87.23415621350608,4.468595953916806
2011-06-01,107.347006776028,4.676066641085828
2011-07-01,100.938883230101,4.614515217150705
2011-08-01,109.917874867317,4.699733494838428
2011-09-01,95.2590584556702,4.556600111381711
2011-10-01,64.583970074268,4.167966238731217
2011-11-01,93.64746753372732,4.53953738670628
2011-12-01,103.272929665569,4.637375286270647
2012-01-01,128.825156516685,4.858456109169381
2012-02-01,129.139480048549,4.860893060928399
2012-03-01,105.737740165377,4.660961878963428
2012-04-01,67.1196865228903,4.206477391750105
2012-05-01,108.140438840184,4.683430742020195
2012-06-01,97.1307527372232,4.57605803717545
2012-07-01,111.423549970988,4.713338705249967
2012-08-01,124.410802458101,4.823589013014922
2012-09-01,95.42768094065693,4.558368692977612
2012-10-01,144.695811550648,4.974633687473153
2012-11-01,151.903252267641,5.023243819956072
2012-12-01,117.275260879914,4.764523828726343
2013-01-01,145.10043676093,4.977426169954048
2013-02-01,127.677249872376,4.849505594249414
2013-03-01,146.837774886971,4.989328405197089
2013-04-01,176.258756390629,5.171953122107245
2013-05-01,184.89153563620096,5.2197693592825
2013-06-01,175.872432919279,5.1697589192756
2013-07-01,167.60280715726,5.121596937056046
2013-08-01,161.718959513004,5.085860010872352
2013-09-01,169.274076161527,5.131519153737717
2013-10-01,169.97186010483298,5.135632894553758
2013-11-01,153.291377071117,5.032340535575052
2013-12-01,185.21845439548696,5.221535963011738
2014-01-01,169.842888270932,5.134873823084906
2014-02-01,222.914584427436,5.4067886686122115
2014-03-01,222.01315107435903,5.402736619191404
2014-04-01,259.15302860153093,5.557418731241287
2014-05-01,205.64410531463696,5.326147030587708
2014-06-01,197.03414964034,5.283377062143008
2014-07-01,220.46970208362305,5.3957602799294495
2014-08-01,194.32783233478,5.269546590256586
2014-09-01,225.93707956340896,5.420256551497838
2014-10-01,188.445675045832,5.238809769308274
2014-11-01,232.223924698095,5.44770209883158
2014-12-01,205.402469525174,5.324971320426924
2015-01-01,182.94707214842,5.209196887775638
2015-02-01,184.284710194571,5.2164818997289695
2015-03-01,199.39948441460297,5.295310271840358
2015-04-01,192.900379247386,5.262173885940783
2015-05-01,193.474089103054,5.265143597059403
2015-06-01,275.601159638524,5.618954746817603
2015-07-01,200.5728195743,5.301177370705896
2015-08-01,188.036669899384,5.236636996465951
2015-09-01,267.393348335894,5.588720789025215
2015-10-01,246.955472955338,5.50920804894125
2015-11-01,263.50961813914904,5.5740898687921
2015-12-01,279.495811499324,5.632987306791719
2016-01-01,261.150817593237,5.565098085619268
2016-02-01,214.306662821316,5.367407993089615
2016-03-01,202.996759642743,5.313190016563368
2016-04-01,242.77274549363705,5.492125802034815
2016-05-01,246.13678232628504,5.505887407123947
2016-06-01,263.32626465914,5.573393813366119
2016-07-01,260.169532072438,5.561333464958071
2016-08-01,276.356762459595,5.62169264861347
2016-09-01,243.25862336368692,5.494125171059285
2016-10-01,249.76510141098305,5.520520881810704
2016-11-01,247.736829945558,5.5123670131515485
2016-12-01,298.005453921653,5.697111788088443
2017-01-01,400.758435834381,5.993358841385095
2017-02-01,317.859746716349,5.761610237428077
2017-03-01,313.831261997127,5.748855459291948
2017-04-01,305.59869819860296,5.722272797461967
2017-05-01,346.91539910321603,5.84908094360222
2017-06-01,317.440366167428,5.760289977597065
2017-07-01,360.85944532203104,5.888488534378797
2017-08-01,346.119437609785,5.8467839108955015
2017-09-01,212.43519355389705,5.358636970340131
2017-10-01,404.825360477352,6.003455765411437
2017-11-01,328.688251296004,5.795109737092542
2017-12-01,304.838591808087,5.719782429341266
2018-01-01,331.078807898062,5.802356437364531
2018-02-01,315.254128472557,5.753379070627818
2018-03-01,405.3096753979351,6.004651405537669
2018-04-01,383.42708646613,5.9491494761758945
2018-05-01,367.6426576210041,5.9071114273317065
2018-06-01,432.08475021125696,6.0686217500477015
2018-07-01,338.65050009479,5.82496860239034
2018-08-01,333.408512073652,5.809368501105514
2018-09-01,358.976754992053,5.883257637066193
2018-10-01,367.93006380179,5.907892876091403
2018-11-01,396.67274793955295,5.983111628259997
2018-12-01,520.378140932376,6.254555741398679
2019-01-01,402.720961975027,5.998243920078598
2019-02-01,435.587738591053,6.0766962423409
2019-03-01,419.3455360204,6.038695248376505
2019-04-01,458.382609312328,6.1277042268805415
2019-05-01,489.509695987352,6.193404269715866
2019-06-01,481.710439997017,6.177343186635728
2019-07-01,514.5682827753809,6.243328263232603
2019-08-01,545.1166181799911,6.300999750085061
2019-09-01,486.850337700718,6.187956761068805
2019-10-01,623.711892188619,6.435688550511787
2019-11-01,580.266833719928,6.363488055883973
2019-12-01,503.113059057474,6.220814914340821
2020-01-01,656.20994503599,6.486480775907419
2020-02-01,586.449743363783,6.374086975357704
2020-03-01,493.4681391068139,6.201458295708963
2020-04-01,321.230784607956,5.772159819970532
2020-05-01,323.664027768264,5.779706026453821
2020-06-01,516.423975585981,6.246928086217695
2020-07-01,575.49791856416,6.355235611411974
2020-08-01,594.027834308691,6.386926177370332
2020-09-01,760.7395192962578,6.634291011878049
2020-10-01,744.354020874164,6.612516756168037
2020-11-01,795.9114652966,6.679487955156721
2020-12-01,914.16872826828,6.818015158649139
2021-01-01,828.5523285675661,6.719679995484703
2021-02-01,761.504219550063,6.635295713423034
2021-03-01,775.5144219123958,6.65352657936488
2021-04-01,764.741031428841,6.639537255507314
2021-05-01,711.688847961584,6.567640804604803
2021-06-01,694.970518542044,6.5438694253011
2021-07-01,838.3950934590409,6.731489461282288
2021-08-01,782.030603171767,6.661893874270327
2021-09-01,774.115965333314,6.651721688378965
