Date,CPI_value,ln_CPI_value
2000-01-01,169.3,5.13167228913909
2000-02-01,170.0,5.135798437050262
2000-03-01,171.0,5.14166355650266
2000-04-01,170.9,5.141078590121546
2000-05-01,171.2,5.1428324637076415
2000-06-01,172.2,5.14865659199363
2000-07-01,172.7,5.1515559851526325
2000-08-01,172.7,5.1515559851526325
2000-09-01,173.6,5.15675380222625
2000-10-01,173.9,5.158480421360237
2000-11-01,174.2,5.160204064418402
2000-12-01,174.6,5.162497643405501
2001-01-01,175.6,5.168208681201016
2001-02-01,176.0,5.170483995038151
2001-03-01,176.1,5.17105201550216
2001-04-01,176.4,5.172754143572691
2001-05-01,177.3,5.177843213080163
2001-06-01,177.7,5.180096735160606
2001-07-01,177.4,5.178407069875479
2001-08-01,177.4,5.178407069875479
2001-09-01,178.1,5.182345190295616
2001-10-01,177.6,5.17953383055807
2001-11-01,177.5,5.178970608915471
2001-12-01,177.4,5.178407069875479
2002-01-01,177.7,5.180096735160606
2002-02-01,178.0,5.181783550292085
2002-03-01,178.5,5.184588601219693
2002-04-01,179.3,5.189060380611087
2002-05-01,179.5,5.190175207928333
2002-06-01,179.6,5.190732155868099
2002-07-01,180.0,5.19295685089021
2002-08-01,180.5,5.195730777772936
2002-09-01,180.8,5.1973914479580765
2002-10-01,181.2,5.199601393608879
2002-11-01,181.5,5.201255653704905
2002-12-01,181.8,5.202907181743378
2003-01-01,182.6,5.207297968160868
2003-02-01,183.6,5.21275947818639
2003-03-01,183.9,5.214392131610276
2003-04-01,183.2,5.21057845224003
2003-05-01,182.9,5.20893955539682
2003-06-01,183.1,5.210032451680465
2003-07-01,183.7,5.21330399222108
2003-08-01,184.5,5.217649463480582
2003-09-01,185.1,5.220896219579452
2003-10-01,184.9,5.219815138393079
2003-11-01,185.0,5.220355825078324
2003-12-01,185.5,5.22305488204749
2004-01-01,186.3,5.227358277607543
2004-02-01,186.7,5.2295030505476765
2004-03-01,187.1,5.231643233280044
2004-04-01,187.4,5.2332453698043215
2004-05-01,188.2,5.23750522715128
2004-06-01,188.9,5.241217774507464
2004-07-01,189.1,5.242275975664412
2004-08-01,189.2,5.2428046566177775
2004-09-01,189.8,5.245970886175828
2004-10-01,190.8,5.251225759014186
2004-11-01,191.7,5.255931650051599
2004-12-01,191.7,5.255931650051599
2005-01-01,191.6,5.25540986553676
2005-02-01,192.4,5.259576538231606
2005-03-01,193.1,5.263208189434469
2005-04-01,193.7,5.2663105704129505
2005-05-01,193.6,5.265794174842477
2005-06-01,193.7,5.2663105704129505
2005-07-01,194.9,5.272486606513515
2005-08-01,196.1,5.2786247332023
2005-09-01,198.8,5.292299294222474
2005-10-01,199.1,5.293807211070151
2005-11-01,198.1,5.288771953704505
2005-12-01,198.1,5.288771953704505
2006-01-01,199.3,5.294811227218749
2006-02-01,199.4,5.295312857527738
2006-03-01,199.7,5.296816240421769
2006-04-01,200.7,5.301811255802292
2006-05-01,201.3,5.304796332645746
2006-06-01,201.8,5.307277107919509
2006-07-01,202.9,5.312713246831769
2006-08-01,203.8,5.3171391207886245
2006-09-01,202.8,5.312220271717028
2006-10-01,201.9,5.307772525318792
2006-11-01,202.0,5.308267697401205
2006-12-01,203.1,5.313698468586339
2007-01-01,203.437,5.315356374642572
2007-02-01,204.226,5.319227223776111
2007-03-01,205.288,5.324413871269311
2007-04-01,205.904,5.327410040751309
2007-05-01,206.755,5.331534517408233
2007-06-01,207.234,5.333848589587692
2007-07-01,207.603,5.335627602054373
2007-08-01,207.667,5.335935835254491
2007-09-01,208.547,5.34016443549993
2007-10-01,209.19,5.343242929901029
2007-11-01,210.834,5.351071093983903
2007-12-01,211.445,5.353964917386851
2008-01-01,212.174,5.357406692754025
2008-02-01,212.687,5.359821601391479
2008-03-01,213.448,5.363393243284224
2008-04-01,213.942,5.365704950249732
2008-05-01,215.208,5.371605002317856
2008-06-01,217.463,5.382028721115022
2008-07-01,219.016,5.389144786508527
2008-08-01,218.69,5.387655201900231
2008-09-01,218.877,5.3885099281999045
