Date,Florida_gdp,ln_Florida_gdp
2005-01-01,872048.0,13.678599747247707
2005-04-01,877633.4,13.684984245559887
2005-07-01,892662.4,13.70196373686739
2005-10-01,890314.1,13.699329600794547
2006-01-01,902478.3,13.712899924578775
2006-04-01,905832.1,13.716609247762927
2006-07-01,907829.5,13.718811864621038
2006-10-01,921055.6,13.73327568257925
2007-01-01,915009.6,13.726689836005898
2007-04-01,921777.1,13.734058716260893
2007-07-01,928467.5,13.741290656469774
2007-10-01,923899.0,13.73635803729003
2008-01-01,909549.6,13.720704810912354
2008-04-01,905576.0,13.716326484313093
2008-07-01,891412.4,13.700562450100106
2008-10-01,860529.3,13.665302944024992
2009-01-01,846566.6,13.648944154365363
2009-04-01,837256.6,13.637885873575515
2009-07-01,833937.0,13.633913138919281
2009-10-01,844162.5,13.646100290590528
2010-01-01,842088.0,13.643639800827486
2010-04-01,850001.2,13.652993040230209
2010-07-01,856943.3,13.661127034364341
2010-10-01,858793.1,13.663283310487788
2011-01-01,846083.9,13.648373806247918
2011-04-01,853070.2,13.656597120860107
2011-07-01,846179.8,13.648487145557983
2011-10-01,852247.4,13.655632139247476
2012-01-01,855312.1,13.6592217105517
2012-04-01,854201.6,13.657922510485385
2012-07-01,862159.2,13.667195219368269
2012-10-01,859772.5,13.664423098350445
2013-01-01,873524.7,13.680291685202825
2013-04-01,874536.8,13.681449653744657
2013-07-01,882753.9,13.690801731792767
2013-10-01,889918.6,13.698885276851383
2014-01-01,890251.7,13.699259510714162
2014-04-01,900744.5,13.710976922568939
2014-07-01,911509.3,13.722857076010955
2014-10-01,920088.4,13.732225031365688
2015-01-01,929324.3,13.742213041917646
2015-04-01,942826.0,13.756637027092799
2015-07-01,951363.5,13.76565149772893
2015-10-01,960202.3,13.774899270410414
2016-01-01,961563.1,13.776315468482704
2016-04-01,973438.5,13.788589927684802
2016-07-01,987088.5,13.80251498004939
2016-10-01,993868.9,13.809360585592193
2017-01-01,1003618.4,13.819122427303947
2017-04-01,1008929.1,13.824400029275187
2017-07-01,1015823.3,13.831209974672358
2017-10-01,1031096.7,13.846133551035392
2018-01-01,1043422.3,13.858016541778309
2018-04-01,1043767.4,13.85834722566693
2018-07-01,1056123.0,13.87011521373812
2018-10-01,1058422.5,13.872290150060326
2019-01-01,1071660.3,13.884719686066077
2019-04-01,1077271.5,13.88994201350589
2019-07-01,1089801.6,13.901506219289352
2019-10-01,1100922.2,13.911658750174462
2020-01-01,1086873.8,13.898816060007269
2020-04-01,1003724.2,13.819227840301307
2020-07-01,1089589.6,13.901311669544755
2020-10-01,1098847.6,13.909772552250411
2021-01-01,1123647.9,13.932091004133035
2021-04-01,1159972.7,13.963907028322849
2021-07-01,1182891.9,13.983472760932397
2021-10-01,1215592.6,14.010742252477455
2022-01-01,1213693.1,14.00917841798313
2022-04-01,1229475.6,14.022098294975825
2022-07-01,1250788.4,14.03928463045822
2022-10-01,1265577.4,14.05103901869323
2023-01-01,1280666.1,14.062890891164555
2023-04-01,1281546.8,14.063578343822908
2023-07-01,1296228.5,14.074969452081666
2023-10-01,1312709.0,14.087603498866114
2024-01-01,1324280.3,14.096379700020977
2024-04-01,1334883.3,14.104354430265172
2024-07-01,1345731.9,14.112448586583545
