Date,Lakeland_gdp,ln_Lakeland_gdp
2001-01-01,18457509.0,16.730981837522002
2002-01-01,19076837.0,16.763985434560766
2003-01-01,19702588.0,16.796260555638238
2004-01-01,20689807.0,16.845151721500354
2005-01-01,21881068.0,16.901132346026984
2006-01-01,22616625.0,16.934195813276155
2007-01-01,23199261.0,16.95963098268093
2008-01-01,22789779.0,16.94182270393922
2009-01-01,21432859.0,16.880435769657215
2010-01-01,21659406.0,16.890950375338363
2011-01-01,21596732.0,16.888052564911657
2012-01-01,21887775.0,16.901438819746314
2013-01-01,22553210.0,16.93138796411471
2014-01-01,22472350.0,16.92779622258263
2015-01-01,23713182.0,16.98154165401371
2016-01-01,24482482.0,17.013468399357784
2017-01-01,25742485.0,17.063653297818885
2018-01-01,26450032.0,17.09076792609772
2019-01-01,27501601.0,17.129754779124006
2020-01-01,28191159.0,17.15451897611531
2021-01-01,30208901.0,17.22364717401858
2022-01-01,31484355.0,17.26500131374945
2023-01-01,32161734.0,17.28628791873197
