Date,Real_personal_income_Lakeland,ln_Real_personal_income_Lakeland
2008-01-01,20989.347,9.951770302278344
2009-01-01,20608.418,9.933454912083468
2010-01-01,21570.276,9.979071534850714
2011-01-01,21848.261,9.99187660925575
2012-01-01,21701.21,9.985123298342662
2013-01-01,21723.076,9.986130384646769
2014-01-01,22225.556,10.00899807694208
2015-01-01,23096.499,10.047436326582185
2016-01-01,23481.404,10.063964067725047
2017-01-01,24956.934,10.124906978399878
2018-01-01,26198.267,10.17344854252334
2019-01-01,27866.969,10.235197359628128
2020-01-01,30625.27,10.329580764134695
2021-01-01,31679.397,10.363421811656302
2022-01-01,30510.958,10.325841176758894
2023-01-01,31051.846,10.343413538090369
