Date,Real_personal_income_Florida,ln_Real_personal_income_Florida
2008-01-01,801556.1,13.594310242343992
2009-01-01,768901.7,13.552718411968536
2010-01-01,805719.8,13.59949131836714
2011-01-01,823940.3,13.621853354810565
2012-01-01,832404.4,13.632073659407876
2013-01-01,824741.5,13.622825282884339
2014-01-01,867379.1,13.673231415096572
2015-01-01,920580.0,13.732759185167307
2016-01-01,947436.7,13.761515406319143
2017-01-01,1004622.8,13.82012270564078
2018-01-01,1055234.0,13.869273101245978
2019-01-01,1113090.4,13.92265084888209
2020-01-01,1162755.8,13.966303435248488
2021-01-01,1232192.8,14.024305904338265
2022-01-01,1210834.5,14.006820349281744
2023-01-01,1247046.8,14.036288754030112
