Date,Total_permits_Florida,ln_Total_permits_Florida
2000-01-01,11628.8025934305,9.361240281779668
2000-02-01,12199.0106900081,9.409110136450353
2000-03-01,11964.6488318634,9.38971165029734
2000-04-01,11212.6970081554,9.324802076616743
2000-05-01,12797.8764624897,9.457034534776563
2000-06-01,14289.6096660842,9.567287955371295
2000-07-01,10746.9938969954,9.282381356961157
2000-08-01,11787.7752877879,9.374818280882192
2000-09-01,13397.7830870476,9.502844530986982
2000-10-01,11826.4948018082,9.37809761567193
2000-11-01,13822.2758173566,9.53403675940497
2000-12-01,13032.4236507047,9.475195658248328
2001-01-01,12934.7643847648,9.46767387912874
2001-02-01,11913.3317524083,9.385413367343144
2001-03-01,15580.6358987508,9.653784133659272
2001-04-01,12907.2257800585,9.465542571520068
2001-05-01,15587.1659582052,9.654203159651539
2001-06-01,12530.6824259259,9.435935509769042
2001-07-01,13731.690634863,9.5274616255489
2001-08-01,14476.7315164412,9.58029791645753
2001-09-01,13623.4915308782,9.51955090007223
2001-10-01,11254.7392603934,9.32854458651481
2001-11-01,15129.4762968201,9.624400192622208
2001-12-01,14698.2790121239,9.595485691907955
2002-01-01,16015.5410172738,9.681314843381735
2002-02-01,16438.4444768405,9.707378045936537
2002-03-01,14316.3112276285,9.569154811495132
2002-04-01,14197.8628644529,9.560846729759398
2002-05-01,13133.0690781957,9.482888685465921
2002-06-01,14985.5462851185,9.614841434549643
2002-07-01,15896.6876309209,9.67386604140632
2002-08-01,15051.1889923647,9.619212269871394
2002-09-01,14401.5296219359,9.575089703668299
2002-10-01,16077.9122271796,9.68520169768527
2002-11-01,15041.9014267461,9.61859501416358
2002-12-01,15421.1134926722,9.64349285544877
2003-01-01,15636.655949838,9.657373177288864
2003-02-01,15684.1738550616,9.660407448218269
2003-03-01,15042.840537691,9.618657445208946
2003-04-01,16770.1289790783,9.727354545847804
2003-05-01,17767.1486908285,9.785106451933656
2003-06-01,16472.3070043855,9.709435886488379
2003-07-01,16280.7778582405,9.697740418405306
2003-08-01,17125.2303545057,9.748308114397954
2003-09-01,18527.2690119624,9.82699892644041
2003-10-01,18543.780618901696,9.827889735208739
2003-11-01,15621.4419727722,9.656399734931313
2003-12-01,20676.853374265906,9.936770159127665
2004-01-01,18218.1129376602,9.810171594520373
2004-02-01,20102.2515109358,9.908587103243345
2004-03-01,18662.6421609794,9.834279059285514
2004-04-01,20671.6438581049,9.93651817820757
2004-05-01,20493.8788694664,9.927881528805766
2004-06-01,20774.7494076301,9.941493557442962
2004-07-01,21616.0680598463,9.981192208781547
2004-08-01,18320.7605389204,9.815790151499643
2004-09-01,20110.107617055295,9.908977834172333
2004-10-01,21679.0490530565,9.984101591725182
2004-11-01,20814.021437434,9.943382146149903
2004-12-01,21125.3908928086,9.958230955855772
2005-01-01,22021.870020069706,9.999791330379745
2005-02-01,20664.526079879695,9.936173793214659
2005-03-01,22887.881419487403,10.038362853813318
2005-04-01,24222.422656199706,10.095034039198007
2005-05-01,21014.356099089295,9.95296110690743
2005-06-01,24183.260036201,10.093415938745117
2005-07-01,22890.835440156698,10.038491910321497
2005-08-01,24715.240932638,10.115175374131255
2005-09-01,29843.2682086716,10.303714572739626
2005-10-01,19912.4609557922,9.89910099342754
2005-11-01,22910.0775521399,10.039332160519939
2005-12-01,22448.7965432927,10.018992285644131
2006-01-01,22663.5428362596,10.02851286994526
2006-02-01,22927.1894578313,10.04007879781324
2006-03-01,21941.8557826744,9.99615131469493
2006-04-01,18431.2024771971,9.821800294178281
2006-05-01,18742.8372176462,9.838566943353346
2006-06-01,16608.4167349556,9.71766487807347
2006-07-01,16004.8566377309,9.680647495021198
2006-08-01,15277.2611373543,9.634120801716673
2006-09-01,13945.374084144,9.542903125384397
2006-10-01,12929.9997540473,9.46730545274404
2006-11-01,12649.2694722446,9.44535474325844
2006-12-01,10993.9458027107,9.305100018693219
2007-01-01,10687.7510883711,9.276853606617802
2007-02-01,10574.2051709585,9.266172839951063
2007-03-01,10390.5373682612,9.248650802511502
2007-04-01,9889.663284095148,9.199245377939619
2007-05-01,10677.8115717476,9.27592318250507
2007-06-01,9000.086320728029,9.104989447464364
2007-07-01,8556.581149378091,9.05445599091785
2007-08-01,8247.54158529721,9.017670445260041
2007-09-01,7060.619261697099,8.862288040762031
2007-10-01,6793.99129842374,8.823793867946048
2007-11-01,6638.67429895048,8.800667568764494
2007-12-01,6293.6358550367695,8.747294220061974
2008-01-01,7642.75083001027,8.941512873639924
2008-02-01,6099.371430392121,8.715941000653972
2008-03-01,4440.7882009476,8.39858716240692
