observation_date,LAKE412BP1FHSA
2000-01-01,281.46676140966201
2000-02-01,202.92061858253501
2000-03-01,334.76498185829900
2000-04-01,295.41090515925600
2000-05-01,374.65572063075905
2000-06-01,306.90661660054002
2000-07-01,232.15424975947599
2000-08-01,342.94344078814203
2000-09-01,297.09129061682302
2000-10-01,280.37554776198004
2000-11-01,281.08324457926398
2000-12-01,270.18777800483798
2001-01-01,310.89447476929502
2001-02-01,293.71645911838198
2001-03-01,288.79292931092999
2001-04-01,315.09555174573603
2001-05-01,343.94573620136396
2001-06-01,297.53248837203301
2001-07-01,280.29614680276899
2001-08-01,374.71641253352897
2001-09-01,249.32469583923699
2001-10-01,376.77962440958402
2001-11-01,322.84727982495599
2001-12-01,362.34323928200803
2002-01-01,342.26645189196802
2002-02-01,390.93480351384096
2002-03-01,318.82912458134103
2002-04-01,316.05593136260603
2002-05-01,320.82856476517401
2002-06-01,357.11812829107498
2002-07-01,356.61555757679804
2002-08-01,326.00859717750097
2002-09-01,340.44681792524699
2002-10-01,421.79314375680701
2002-11-01,431.38687720714097
2002-12-01,387.06137906382799
2003-01-01,413.09991076212202
2003-02-01,375.25469496484499
2003-03-01,444.33007926563198
2003-04-01,521.88471564314091
2003-05-01,494.93001601596097
2003-06-01,464.06735642053297
2003-07-01,562.25302388101306
2003-08-01,523.32364567954892
2003-09-01,575.28621704104796
2003-10-01,433.34374115960799
2003-11-01,528.36253554429300
2003-12-01,665.12469350320202
2004-01-01,555.29952579586404
2004-02-01,471.70482504680893
2004-03-01,505.18126577276797
2004-04-01,379.13222261494695
2004-05-01,457.01278775657602
2004-06-01,734.21661002329506
2004-07-01,480.83825251942494
2004-08-01,434.06912286857505
2004-09-01,828.88069937461580
2004-10-01,1014.93192683633004
2004-11-01,459.35235249317697
2004-12-01,534.23147248361806
2005-01-01,544.74120148007603
2005-02-01,656.83505108675695
2005-03-01,743.43516946178499
2005-04-01,754.70193216806092
2005-05-01,705.71944085069697
2005-06-01,856.44623299565694
2005-07-01,355.57992847795703
2005-08-01,946.20357455798080
2005-09-01,1582.14353373329982
2005-10-01,935.91462533369520
2005-11-01,908.26277440888703
2005-12-01,1123.23457185869006
2006-01-01,1380.27739948642011
2006-02-01,1406.41878511795016
2006-03-01,967.64972962066895
2006-04-01,568.22045770313400
2006-05-01,603.40478807780198
2006-06-01,505.68943590596297
2006-07-01,401.67862938553299
2006-08-01,404.76851547827295
2006-09-01,363.31848955623400
2006-10-01,372.22124329893506
2006-11-01,430.99050253957296
2006-12-01,395.11844134316704
2007-01-01,340.37649461141302
2007-02-01,319.71605936906400
2007-03-01,386.34386042007401
2007-04-01,344.75634038338796
2007-05-01,494.94171139172306
2007-06-01,327.85753160870098
2007-07-01,308.74178238198004
2007-08-01,293.69874895045501
2007-09-01,251.36985489526501
2007-10-01,261.32699522753700
2007-11-01,289.45523330320498
2007-12-01,250.78041930335999
2008-01-01,211.87778528106497
2008-02-01,264.66835788702400
2008-03-01,147.30167866236701
2008-04-01,233.75293102069401
2008-05-01,208.57919612527601
2008-06-01,201.81078084958199
2008-07-01,221.12524118002895
2008-08-01,167.50031232447500
2008-09-01,124.56936436307500
2008-10-01,150.40282628069900
2008-11-01,147.85629135885100
2008-12-01,106.68489889337600
2009-01-01,90.38227260567508
2009-02-01,87.60327325751959
2009-03-01,93.57260863817292
2009-04-01,70.01642903749800
2009-05-01,69.94843363992921
2009-06-01,129.24287918497200
2009-07-01,94.35512642385170
2009-08-01,78.24107709614009
2009-09-01,116.93560907500500
2009-10-01,106.17637435559800
2009-11-01,84.47555172240959
2009-12-01,115.80924479900200
2010-01-01,109.74415467898100
2010-02-01,81.64353444483929
2010-03-01,132.69680964122799
2010-04-01,132.92363105972100
2010-05-01,106.96478145488300
2010-06-01,79.62853850015740
2010-07-01,62.11881757579710
2010-08-01,100.92415328389200
2010-09-01,89.43196222250870
2010-10-01,82.36285982941240
2010-11-01,73.16403698256670
2010-12-01,82.83050510505208
2011-01-01,33.53845246576010
2011-02-01,84.15439247728180
2011-03-01,68.92194585325610
2011-04-01,64.39592788026430
2011-05-01,87.23415621350608
2011-06-01,107.34700677602800
2011-07-01,100.93888323010100
2011-08-01,109.91787486731700
2011-09-01,95.25905845567020
2011-10-01,64.58397007426800
2011-11-01,93.64746753372732
2011-12-01,103.27292966556900
2012-01-01,128.82515651668501
2012-02-01,129.13948004854899
2012-03-01,105.73774016537701
2012-04-01,67.11968652289031
2012-05-01,108.14043884018400
2012-06-01,97.13075273722320
2012-07-01,111.42354997098801
2012-08-01,124.41080245810100
2012-09-01,95.42768094065693
2012-10-01,144.69581155064799
2012-11-01,151.90325226764099
2012-12-01,117.27526087991400
2013-01-01,145.10043676092999
2013-02-01,127.67724987237600
2013-03-01,146.83777488697100
2013-04-01,176.25875639062900
2013-05-01,184.89153563620096
2013-06-01,175.87243291927899
2013-07-01,167.60280715726000
2013-08-01,161.71895951300399
2013-09-01,169.27407616152701
2013-10-01,169.97186010483298
2013-11-01,153.29137707111701
2013-12-01,185.21845439548699
2014-01-01,169.84288827093201
2014-02-01,222.91458442743601
2014-03-01,222.01315107435903
2014-04-01,259.15302860153099
2014-05-01,205.64410531463699
2014-06-01,197.03414964033999
2014-07-01,220.46970208362305
2014-08-01,194.32783233478000
2014-09-01,225.93707956340899
2014-10-01,188.44567504583199
2014-11-01,232.22392469809500
2014-12-01,205.40246952517401
2015-01-01,182.94707214842001
2015-02-01,184.28471019457101
2015-03-01,199.39948441460299
2015-04-01,192.90037924738601
2015-05-01,193.47408910305401
