CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",18457509,19076837,19702588,20689807,21881068,22616625,23199261,22789779,21432859,21659406,21596732,21887775,22553210,22472350,23713182,24482482,25742485,26450032,27501601,28191159,30208901,31484355,32161734

Legend/Footnotes
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"  Last updated: December 4, 2024-- new statistics for 2023; revised statistics for 2019-2022."
