SARPI Real personal income and real personal Consumption Expenditures (PCE) by state
SARPI Real personal income and real personal Consumption Expenditures (PCE) by state
State or DC
GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
12000,Florida,801556.1,768901.7,805719.8,823940.3,832404.4,824741.5,867379.1,920580.0,947436.7,1004622.8,1055234.0,1113090.4,1162755.8,1232192.8,1210834.5,1247046.8

Legend/Footnotes
1. Real personal income for states is personal income divided by the RPPs and the national PCE price index. The result is a constant dollar (using 2017 as the base year) estimate of real personal income. Calculations are performed on unrounded data.
"  Last updated: December 12, 2024-- new statistics for 2023; revised statistics for 2019-2022."
