observation_date,LAKE412BPPRIVSA
2000-01-01,278.33695279452701
2000-02-01,234.74625081007099
2000-03-01,536.65086498857499
2000-04-01,350.05312849102404
2000-05-01,871.41899081949907
2000-06-01,540.33800369620599
2000-07-01,224.31105259624297
2000-08-01,381.39139055647695
2000-09-01,337.45371834411998
2000-10-01,285.30035020421701
2000-11-01,393.82246305571198
2000-12-01,278.71292956416198
2001-01-01,297.69729643399000
2001-02-01,336.24284288155599
2001-03-01,281.27356127434700
2001-04-01,349.78080362367996
2001-05-01,365.19520812778705
2001-06-01,275.58796336666597
2001-07-01,450.51042634142800
2001-08-01,500.33710830659800
2001-09-01,472.21109697165696
2001-10-01,426.92831255343810
2001-11-01,335.60771366860200
2001-12-01,374.93799585355697
2002-01-01,324.97415911609500
2002-02-01,426.17458803878799
2002-03-01,314.68117990579901
2002-04-01,366.90883904669198
2002-05-01,357.67492888401199
2002-06-01,374.12105804886801
2002-07-01,329.73047435842602
2002-08-01,348.97390454396299
2002-09-01,345.85063980990304
2002-10-01,451.57134696527999
2002-11-01,697.73117312772990
2002-12-01,393.70204701146497
2003-01-01,612.51599392181402
2003-02-01,425.91653199187800
2003-03-01,441.71980644900810
2003-04-01,567.84647082909100
2003-05-01,551.05497616439800
2003-06-01,451.66298944751202
2003-07-01,553.29483998950309
2003-08-01,612.65697144917999
2003-09-01,627.95669289532304
2003-10-01,464.51267622391697
2003-11-01,548.60637450187699
2003-12-01,684.99123201765599
2004-01-01,526.07387446630707
2004-02-01,532.91601613814498
2004-03-01,499.37022844787600
2004-04-01,403.27490780586999
2004-05-01,455.87572586913598
2004-06-01,700.70719900904101
2004-07-01,509.06872448369597
2004-08-01,469.03052902269502
2004-09-01,930.02360131524802
2004-10-01,1876.75504068350006
2004-11-01,487.89046983206401
2004-12-01,583.52022149970492
2005-01-01,774.13727958858510
2005-02-01,769.25665389752305
2005-03-01,878.29255760854494
2005-04-01,803.39219835079894
2005-05-01,843.67637101980893
2005-06-01,894.39159361846896
2005-07-01,508.63627846601696
2005-08-01,1004.75291175782002
2005-09-01,1663.37221604865999
2005-10-01,1039.57240614290004
2005-11-01,1019.70966527024996
2005-12-01,1180.52113333553007
2006-01-01,1583.64212305549017
2006-02-01,2244.86995781184987
2006-03-01,1091.94863210675999
2006-04-01,615.62388308055608
2006-05-01,624.07880873731199
2006-06-01,510.41556858456198
2006-07-01,687.12322255299603
2006-08-01,410.32438287545097
2006-09-01,358.62068763161500
2006-10-01,370.07743876444601
2006-11-01,469.83773622533295
2006-12-01,596.75639853691200
2007-01-01,293.86154299466597
2007-02-01,353.96877866745905
2007-03-01,409.66992395181296
2007-04-01,383.98945244565999
2007-05-01,719.10520662979206
2007-06-01,343.54295090876798
2007-07-01,302.55333692188600
2007-08-01,292.75396937776600
2007-09-01,238.14400739203899
2007-10-01,254.60696853511504
2007-11-01,307.89955167887797
2007-12-01,292.04625846304003
2008-01-01,539.64017475273693
2008-02-01,291.79715810434601
2008-03-01,153.76439184865100
2008-04-01,264.63853981526103
2008-05-01,222.67280348461799
2008-06-01,729.06423306333909
2008-07-01,228.80663543173799
2008-08-01,165.29898062826598
2008-09-01,122.81247694028001
2008-10-01,149.15437886646799
2008-11-01,150.39615750053900
2008-12-01,111.37130316392900
2009-01-01,81.58678813041600
2009-02-01,92.96386461280269
2009-03-01,98.04815945605152
2009-04-01,75.38670530959290
2009-05-01,66.78799699051280
2009-06-01,121.42556199448801
2009-07-01,91.84961456536580
2009-08-01,79.88380531377909
2009-09-01,116.77185706653000
2009-10-01,107.60950299874500
2009-11-01,81.48376088952180
2009-12-01,119.06523145999000
2010-01-01,105.99295282715300
2010-02-01,88.42328104232081
2010-03-01,137.25839001965599
2010-04-01,217.86014666632801
2010-05-01,101.91018647041101
2010-06-01,77.76350595000521
2010-07-01,60.07271293113850
2010-08-01,105.92704577544400
2010-09-01,91.67304287408700
2010-10-01,123.51483603127200
2010-11-01,101.60719526267199
2010-12-01,82.18620085839900
2011-01-01,34.33574901373950
2011-02-01,89.29866933252171
2011-03-01,69.74415802974789
2011-04-01,67.71247514449711
2011-05-01,85.90747710152300
2011-06-01,96.00313851826429
2011-07-01,95.16302770802940
2011-08-01,126.24349026355900
2011-09-01,97.59969198735659
2011-10-01,66.46204586765570
2011-11-01,84.95281080512440
2011-12-01,100.75439299511200
2012-01-01,134.31169879314999
2012-02-01,137.11660236780500
2012-03-01,104.12861988808100
2012-04-01,71.99682094981651
2012-05-01,118.81642104856900
2012-06-01,92.42902066410250
2012-07-01,104.48630156848699
2012-08-01,249.07363925355600
2012-09-01,101.81230988551100
2012-10-01,144.69012900478501
2012-11-01,145.99692548979800
2012-12-01,115.50441849899400
2013-01-01,152.72248470113701
2013-02-01,135.59028722799599
2013-03-01,149.84945800654401
2013-04-01,194.49920168368899
2013-05-01,197.85695689850900
2013-06-01,172.29840141296299
2013-07-01,186.22733066254801
2013-08-01,167.81684042040700
2013-09-01,174.70565488015899
2013-10-01,165.54207233647799
2013-11-01,153.48380981932601
2013-12-01,185.78046621036597
2014-01-01,168.94110791323899
2014-02-01,229.51360846473199
2014-03-01,214.01520366599900
2014-04-01,289.15141215374899
2014-05-01,213.70178955794600
2014-06-01,178.91457720792999
2014-07-01,213.59518473785900
2014-08-01,192.57276767200801
2014-09-01,236.33891324668099
2014-10-01,189.31403815053500
2014-11-01,236.97549594404495
2014-12-01,212.61095474339501
2015-01-01,212.22171454568505
2015-02-01,182.76233048171699
2015-03-01,212.52597249863001
2015-04-01,215.53363013467097
