observation_date,FLBPPRIVSA
2000-01-01,11628.8025934305006
2000-02-01,12199.0106900080991
2000-03-01,11964.6488318634001
2000-04-01,11212.6970081554009
2000-05-01,12797.8764624896994
2000-06-01,14289.6096660841995
2000-07-01,10746.9938969954001
2000-08-01,11787.7752877878993
2000-09-01,13397.7830870475991
2000-10-01,11826.4948018081996
2000-11-01,13822.2758173565999
2000-12-01,13032.4236507047008
2001-01-01,12934.7643847647996
2001-02-01,11913.3317524082995
2001-03-01,15580.6358987507992
2001-04-01,12907.2257800584994
2001-05-01,15587.1659582051998
2001-06-01,12530.6824259258992
2001-07-01,13731.6906348630000
2001-08-01,14476.7315164411993
2001-09-01,13623.4915308782001
2001-10-01,11254.7392603934004
2001-11-01,15129.4762968200994
2001-12-01,14698.2790121238995
2002-01-01,16015.5410172737993
2002-02-01,16438.4444768405010
2002-03-01,14316.3112276284992
2002-04-01,14197.8628644528999
2002-05-01,13133.0690781957001
2002-06-01,14985.5462851185002
2002-07-01,15896.6876309209001
2002-08-01,15051.1889923646995
2002-09-01,14401.5296219359006
2002-10-01,16077.9122271796004
2002-11-01,15041.9014267461007
2002-12-01,15421.1134926722007
2003-01-01,15636.6559498379993
2003-02-01,15684.1738550615992
2003-03-01,15042.8405376909996
2003-04-01,16770.1289790783012
2003-05-01,17767.1486908285005
2003-06-01,16472.3070043855005
2003-07-01,16280.7778582405008
2003-08-01,17125.2303545057002
2003-09-01,18527.2690119623985
2003-10-01,18543.7806189016992
2003-11-01,15621.4419727721997
2003-12-01,20676.8533742659056
2004-01-01,18218.1129376602003
2004-02-01,20102.2515109357992
2004-03-01,18662.6421609794015
2004-04-01,20671.6438581049006
2004-05-01,20493.8788694663999
2004-06-01,20774.7494076301009
2004-07-01,21616.0680598463005
2004-08-01,18320.7605389204000
2004-09-01,20110.1076170552988
2004-10-01,21679.0490530565003
2004-11-01,20814.0214374339994
2004-12-01,21125.3908928085984
2005-01-01,22021.8700200697058
2005-02-01,20664.5260798796990
2005-03-01,22887.8814194874030
2005-04-01,24222.4226561997057
2005-05-01,21014.3560990892984
2005-06-01,24183.2600362010016
2005-07-01,22890.8354401566976
2005-08-01,24715.2409326379966
2005-09-01,29843.2682086716013
2005-10-01,19912.4609557922013
2005-11-01,22910.0775521399009
2005-12-01,22448.7965432927012
2006-01-01,22663.5428362595994
2006-02-01,22927.1894578313004
2006-03-01,21941.8557826744000
2006-04-01,18431.2024771971010
2006-05-01,18742.8372176461999
2006-06-01,16608.4167349556010
2006-07-01,16004.8566377309016
2006-08-01,15277.2611373543004
2006-09-01,13945.3740841439994
2006-10-01,12929.9997540472996
2006-11-01,12649.2694722445995
2006-12-01,10993.9458027106994
2007-01-01,10687.7510883711002
2007-02-01,10574.2051709584994
2007-03-01,10390.5373682612008
2007-04-01,9889.6632840951497
2007-05-01,10677.8115717475994
2007-06-01,9000.0863207280290
2007-07-01,8556.5811493780911
2007-08-01,8247.5415852972092
2007-09-01,7060.6192616970993
2007-10-01,6793.9912984237399
2007-11-01,6638.6742989504801
2007-12-01,6293.6358550367695
2008-01-01,7642.7508300102700
2008-02-01,6099.3714303921206
2008-03-01,4440.7882009475998
2008-04-01,5978.3994907747110
2008-05-01,5528.5858964323907
2008-06-01,5999.1299487063507
2008-07-01,4866.6046836651203
2008-08-01,5472.4579337351597
2008-09-01,5737.2557441012095
2008-10-01,3867.5721488952295
2008-11-01,3463.0257350954403
2008-12-01,3353.4917759268396
2009-01-01,2905.8186615713598
2009-02-01,3663.0207082168999
2009-03-01,2686.5749854224300
2009-04-01,2188.6669767109697
2009-05-01,2487.2661666986701
2009-06-01,3319.8345748836305
2009-07-01,3007.0740139901695
2009-08-01,2637.5972871077101
2009-09-01,3289.3845624275700
2009-10-01,3125.5036818901299
2009-11-01,3347.4876212339000
2009-12-01,3662.0094554259599
2010-01-01,3825.0940838280799
2010-02-01,3537.6621639552795
2010-03-01,3584.4445104445399
2010-04-01,3614.2585663275390
2010-05-01,3075.6253867650703
2010-06-01,3065.9274435642501
2010-07-01,2853.1638747278198
2010-08-01,3027.8452592580297
2010-09-01,2994.4189995682300
2010-10-01,2868.1248537006104
2010-11-01,2977.4166543058400
2010-12-01,3233.4703363442700
2011-01-01,2974.7863328292201
2011-02-01,3060.5970619600503
2011-03-01,3544.1030279448796
2011-04-01,3111.1171710290100
2011-05-01,3415.7187796053099
2011-06-01,3642.2755643182895
2011-07-01,4067.6792378879400
2011-08-01,3986.9172700758400
2011-09-01,3857.1482255453498
2011-10-01,3644.7378939514601
2011-11-01,4213.4945188962001
2011-12-01,4310.4513793069200
2012-01-01,4548.2363045516495
2012-02-01,3711.1437654530000
2012-03-01,4692.7944948248105
2012-04-01,4418.6826999458999
2012-05-01,5279.6396801390092
2012-06-01,4946.1265156255295
2012-07-01,5016.0813581749399
2012-08-01,5978.5481764713404
2012-09-01,8902.1364466404611
2012-10-01,5511.8011495526407
2012-11-01,6057.5908865111287
2012-12-01,5339.6962400821103
2013-01-01,6153.4527256319998
2013-02-01,6825.9515351142509
2013-03-01,7053.0981352026402
2013-04-01,9200.9557970484311
2013-05-01,9391.2335555552199
2013-06-01,5962.7109516948894
2013-07-01,7092.8898576692300
2013-08-01,6552.3465008945604
2013-09-01,7038.4967502724203
2013-10-01,7653.6686520556195
2013-11-01,7718.6523423068593
2013-12-01,6186.4126443573205
2014-01-01,7408.1219720344307
2014-02-01,7573.6473587319906
2014-03-01,5701.1547066577505
2014-04-01,6978.6550472036497
2014-05-01,6664.6899617470608
2014-06-01,7011.4817206576790
2014-07-01,7699.4273076532991
2014-08-01,6767.8188464329696
2014-09-01,6724.1308121742495
2014-10-01,8004.1142890889196
2014-11-01,6137.8305068412492
2014-12-01,8146.9431407701713
2015-01-01,7588.4482552281588
2015-02-01,8808.9896725580402
2015-03-01,8338.2599080266009
2015-04-01,7805.8895555044992
2015-05-01,8643.7506160489702
2015-06-01,9003.0207181065689
2015-07-01,8265.9159132940713
2015-08-01,7226.7023414123905
2015-09-01,11363.5388792744998
2015-10-01,8603.0655096497794
2015-11-01,9630.1136164468189
2015-12-01,11143.6783538410018
2016-01-01,7794.4526507560595
2016-02-01,9363.4625427628707
2016-03-01,9375.2355334083804
2016-04-01,8800.0820182670595
2016-05-01,8611.6749283714689
2016-06-01,8657.9954983060488
2016-07-01,8892.4475266676000
2016-08-01,10300.0056465504003
2016-09-01,10824.2804331645002
2016-10-01,9566.2059225446792
2016-11-01,10024.6971920535998
2016-12-01,10314.5122135377005
2017-01-01,9813.9658407793904
2017-02-01,8578.5968722776288
2017-03-01,9701.1418482126501
2017-04-01,10030.4714045629007
2017-05-01,10782.0559997028995
2017-06-01,11089.8244072965008
2017-07-01,9833.8929453269702
2017-08-01,10138.5506194646005
2017-09-01,8473.7729124976395
2017-10-01,10080.0842791468003
2017-11-01,9536.7914782129901
2017-12-01,9173.8350766107196
2018-01-01,11128.4404988309016
2018-02-01,10965.0680456971004
2018-03-01,11352.2824822036018
2018-04-01,12345.9825554552008
2018-05-01,11407.0286529423993
2018-06-01,11727.9390965665007
2018-07-01,12903.7152067128009
2018-08-01,11361.1090291450000
2018-09-01,11000.9428839321008
2018-10-01,11434.4348386218007
2018-11-01,15287.1928377326003
2018-12-01,12316.8889211246005
2019-01-01,10959.1312790200009
2019-02-01,12258.3184966613007
2019-03-01,11563.1520201373005
2019-04-01,12788.6221136392996
2019-05-01,12577.7130637259015
2019-06-01,10053.6476292576008
2019-07-01,13050.4600435992998
2019-08-01,13691.8999000503009
2019-09-01,15557.5620086417985
2019-10-01,14663.3327134512019
2019-11-01,13143.7577789667994
2019-12-01,12929.0548769653997
2020-01-01,14263.7179493683016
2020-02-01,13623.7421589963997
2020-03-01,13376.4785050398004
2020-04-01,10718.2565691839009
2020-05-01,11785.4602782233997
2020-06-01,11590.8139684133002
2020-07-01,13111.0612349283001
2020-08-01,13811.8941990036019
2020-09-01,14643.3490057501003
2020-10-01,15388.5500378348006
2020-11-01,14744.1566371406007
2020-12-01,15409.6519977935004
2021-01-01,15778.3324227563007
2021-02-01,14589.7167548535017
2021-03-01,16913.9925375234998
2021-04-01,17237.1287926256991
2021-05-01,17418.2791918301991
2021-06-01,17728.0579654602006
2021-07-01,17948.0388297993995
2021-08-01,20349.9831729803991
2021-09-01,17202.6692176426004
2021-10-01,16233.8972707180001
2021-11-01,18759.6715756882004
2021-12-01,18789.5190520908000
2022-01-01,17686.2553245177987
2022-02-01,18591.9182208562015
2022-03-01,18580.4726324315998
2022-04-01,17700.8340911021987
2022-05-01,19354.2478160153987
2022-06-01,18190.9700440525012
2022-07-01,15683.4429023295997
2022-08-01,15157.0383916747996
2022-09-01,17392.2573674765990
2022-10-01,15723.5879248186993
